"GroupName","OptionSet","Exploit","Refine","Seconds","Filter","All","PQuits","DQuits","Settles","Trial","Shifting","ShiftingOccursIfTrial","ShiftingValueIfTrial","PQuits","DQuits","POffer","DOffer","DMSAcc","DMSAccL1","DMSTrialRelAccL1","AccSq","Accuracy","Accuracy_ForPlaintiff","Accuracy_ForDefendant","TrialRelativeAccSq","TrialRelativeAccuracy","TrialRelativeAccuracy_ForPlaintiff","TrialRelativeAccuracy_ForDefendant","SettlementOrJudgment","DsProportionOfCost","DsProportionOfCostIfTrial","TrialValuePreShiftingIfOccurs","TrialValueWithShiftingIfOccurs","PTrialEffect_IfOccurs","DTrialEffect_IfOccurs","ResolutionValueIncludingShiftedAmount","SettlementValue","PWealth","DWealth","PWelfare","DWelfare","PQuality","DQuality","NQuality","QualitySum","PBestGuess","DBestGuess","QualitySum_PInfo","QualitySum_DInfo","PBias","DBias","NBias","BiasSum","BiasSum_PInfo","BiasSum_DInfo","Quality","Alpha_Quality","Alpha_Both_Quality","Alpha_Plaintiff_Quality","Alpha_Defendant_Quality","Alpha_Plaintiff_Bias","Alpha_Defendant_Bias","Evidence_Both_Quality","TrialCost","FeeShifting","FSMargin","FeeShiftingThreshold"
"dms","dms;q0.500;c0.250;t0.5600","0.04925","1","0","All",1,0,0,0.85,0.15,0.08,0.13,-0.00625,0,0,0.4,0.6,1.327E-33,3.64292E-17,2.16840E-18,0.017437,0.0985,0.10575,0.10575,0.003625,0.046,0.05475,0.05475,0.5,0.5,0.475,0.5,0.49375,0.36875,0.38125,0.5,0.5,0.48125,0.48125,0.48125,0.48125,-0.05,-0.05,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.25,1,0,0.56
"dms","dms;q0.500;c0.250;t0.5600","0.04925","1","0","PBias1",0.1,0,0,1,0,0,0.1,-0.0125,0,0,0.25,0.6,0.005625,0.075,0.0375,0.01375,0.075,0.075,0.075,0.0028125,0.0425,0.0425,0.0425,0.425,0.5,0.45,0.3875,0.375,0.25,0.5,0.425,0.425,0.425,0.575,0.425,0.575,-0.05,-0.05,-0.5,0.5,0.3875,0.5,0.5,0.5,0.05,0.5,0.5,0.275,0.05,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.25,1,0,0.56
"dms","dms;q0.500;c0.250;t0.5600","0.04925","1","0","PBias2",0.1,0,0,1,0,0,0.1,-0.0125,0,0,0.25,0.6,0.005625,0.075,0.0125,0.01375,0.075,0.075,0.075,0.0015625,0.0325,0.0325,0.0325,0.425,0.5,0.45,0.4125,0.4,0.275,0.475,0.425,0.425,0.425,0.575,0.425,0.575,-0.05,-0.05,-0.5,0.5,0.4125,0.5,0.5,0.5,0.15,0.5,0.5,0.325,0.15,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.25,1,0,0.56
"dms","dms;q0.500;c0.250;t0.5600","0.04925","1","0","PBias3",0.1,0,0,1,0,0,0.1,-0.0125,0,0,0.25,0.6,0.005625,0.075,0.0125,0.01375,0.075,0.075,0.075,0.0015625,0.0325,0.0325,0.0325,0.425,0.5,0.45,0.4375,0.425,0.3,0.45,0.425,0.425,0.425,0.575,0.425,0.575,-0.05,-0.05,-0.5,0.5,0.4375,0.5,0.5,0.5,0.25,0.5,0.5,0.375,0.25,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.25,1,0,0.56
"dms","dms;q0.500;c0.250;t0.5600","0.04925","1","0","PBias4",0.1,0,0,1,0,0,0.1,-0.0125,0,0,0.25,0.6,0.005625,0.075,0.0375,0.01375,0.075,0.075,0.075,0.0028125,0.0425,0.0425,0.0425,0.425,0.5,0.45,0.4625,0.45,0.325,0.425,0.425,0.425,0.425,0.575,0.425,0.575,-0.05,-0.05,-0.5,0.5,0.4625,0.5,0.5,0.5,0.35,0.5,0.5,0.425,0.35,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.25,1,0,0.56
"dms","dms;q0.500;c0.250;t0.5600","0.04925","1","0","PBias5",0.1,0,0,1,0,0,0.1,-0.0125,0,0,0.25,0.6,0.005625,0.075,0.0625,0.01375,0.075,0.075,0.075,0.0053125,0.0625,0.0625,0.0625,0.425,0.5,0.45,0.4875,0.475,0.35,0.4,0.425,0.425,0.425,0.575,0.425,0.575,-0.05,-0.05,-0.5,0.5,0.4875,0.5,0.5,0.5,0.45,0.5,0.5,0.475,0.45,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.25,1,0,0.56
"dms","dms;q0.500;c0.250;t0.5600","0.04925","1","0","PBias6",0.1,0,0,0.9,0.1,0.1,0.1,-0.0125,0,0,0.35,0.6,0.0007562,0.0275,0.04,0.009813,0.0775,0.09,0.065,0.003375,0.045,0.0575,0.0325,0.485,0.45,0.45,0.5125,0.5,0.375,0.375,0.4725,0.494444,0.46,0.515,0.46,0.515,-0.05,-0.05,-0.5,0.5,0.5125,0.5,0.5,0.5,0.55,0.5,0.5,0.525,0.55,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.25,1,0,0.56
"dms","dms;q0.500;c0.250;t0.5600","0.04925","1","0","PBias7",0.1,0,0,0.8,0.2,0.1,0.1,-0.0125,0,0,0.45,0.6,0.000625,0.025,0.0125,0.00975,0.085,0.11,0.075,0.0023125,0.0325,0.0575,0.0325,0.5375,0.45,0.45,0.5375,0.525,0.4,0.35,0.525,0.5625,0.5,0.45,0.5,0.45,-0.05,-0.05,-0.5,0.5,0.5375,0.5,0.5,0.5,0.65,0.5,0.5,0.575,0.65,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.25,1,0,0.56
"dms","dms;q0.500;c0.250;t0.5600","0.04925","1","0","PBias8",0.1,0,0,0.7,0.3,0.1,0.1,-0.0125,0,0,0.55,0.6,0.0049,0.07,0.0075,0.015625,0.11,0.1475,0.1175,0.0028125,0.0375,0.075,0.05,0.5825,0.45,0.45,0.5625,0.55,0.425,0.325,0.57,0.628571,0.5325,0.3925,0.5325,0.3925,-0.05,-0.05,-0.5,0.5,0.5625,0.5,0.5,0.5,0.75,0.5,0.5,0.625,0.75,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.25,1,0,0.56
"dms","dms;q0.500;c0.250;t0.5600","0.04925","1","0","PBias9",0.1,0,0,0.6,0.4,0.1,0.1,-0.0125,0,0,0.65,0.6,0.0115562,0.1075,0.02,0.024812,0.1375,0.1725,0.1625,0.004,0.045,0.095,0.07,0.62,0.45,0.45,0.5875,0.575,0.45,0.3,0.6075,0.691667,0.5575,0.3425,0.5575,0.3425,-0.05,-0.05,-0.5,0.5,0.5875,0.5,0.5,0.5,0.85,0.5,0.5,0.675,0.85,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0.25,1,0,0.56
