"GroupName","OptionSet","Exploit","Refine","Seconds","Filter","All","PQuits","DQuits","Settles","Trial","Shifting","ShiftingOccursIfTrial","ShiftingValueIfTrial","PQuits","DQuits","POffer","DOffer","DMSAcc","DMSAccL1","DMSTrialRelAccL1","AccSq","Accuracy","Accuracy_ForPlaintiff","Accuracy_ForDefendant","TrialRelativeAccSq","TrialRelativeAccuracy","TrialRelativeAccuracy_ForPlaintiff","TrialRelativeAccuracy_ForDefendant","SettlementOrJudgment","DsProportionOfCost","DsProportionOfCostIfTrial","TrialValuePreShiftingIfOccurs","TrialValueWithShiftingIfOccurs","PTrialEffect_IfOccurs","DTrialEffect_IfOccurs","ResolutionValueIncludingShiftedAmount","SettlementValue","PWealth","DWealth","PWelfare","DWelfare","PQuality","DQuality","NQuality","QualitySum","PBestGuess","DBestGuess","QualitySum_PInfo","QualitySum_DInfo","PBias","DBias","NBias","BiasSum","BiasSum_PInfo","BiasSum_DInfo","Quality","Alpha_Quality","Alpha_Both_Quality","Alpha_Plaintiff_Quality","Alpha_Defendant_Quality","Alpha_Plaintiff_Bias","Alpha_Defendant_Bias","Evidence_Both_Quality","TrialCost","FeeShifting","FSMargin","FeeShiftingThreshold"
"marges","marges;q0.333;c0.125;t0.4900","1.388E-16","1","6","All",1,0,0,0.08,0.92,0.92,1,-0.0177625,0,0,0.56,0.23,0.0038053,0.0616875,0.0216458,0.019075,0.108275,0.095225,0.143371,0.00162675,0.034675,0.0793125,0.0486875,0.410333,0.3775,0.3579,0.416667,0.398904,0.336404,0.538596,0.395021,0.25,0.337521,0.547479,0.337521,0.547479,-0.05,-0.05,-0.5,0.333333,0.416667,0.416667,0.333333,0.333333,0.5,0.5,0.5,0.5,0.5,0.5,0.333333,0.5,1,0,0,0.5,0.5,0.333333,0.125,1,0,0.49
"marges","marges;q0.333;c0.125;t0.4900","1.388E-16","1","6","PBias1",0.1,0,0,0.8,0.2,0.2,1,-0.030625,0,0,0.25,0.23,0.0097269,0.098625,0.0694583,0.010693,0.098625,0.111125,0.086125,0.00782647,0.071125,0.083625,0.071375,0.240833,0.451,0.255,0.304167,0.273542,0.211042,0.663958,0.234708,0.25,0.222208,0.752792,0.222208,0.752792,-0.05,-0.05,-0.5,0.333333,0.304167,0.416667,0.333333,0.333333,0.05,0.5,0.5,0.275,0.05,0.5,0.333333,0.5,1,0,0,0.5,0.5,0.333333,0.125,1,0,0.49
"marges","marges;q0.333;c0.125;t0.4900","1.388E-16","1","6","PBias2",0.1,0,0,0,1,1,1,-0.030625,0,0,0.55,0.23,0.0012105,0.0347917,0.030625,0.006367,0.0669583,0.100333,0.0655417,0.000937891,0.030625,0.093125,0.031875,0.329167,0.255,0.255,0.329167,0.298542,0.236042,0.638958,0.298542,,0.236042,0.638958,0.236042,0.638958,-0.05,-0.05,-0.5,0.333333,0.329167,0.416667,0.333333,0.333333,0.15,0.5,0.5,0.325,0.15,0.5,0.333333,0.5,1,0,0,0.5,0.5,0.333333,0.125,1,0,0.49
"marges","marges;q0.333;c0.125;t0.4900","1.388E-16","1","6","PBias3",0.1,0,0,0,1,1,1,-0.030625,0,0,0.55,0.23,9.5877E-5,0.00979167,0.030625,0.005252,0.0625,0.083375,0.0735833,0.000937891,0.030625,0.093125,0.031875,0.354167,0.255,0.255,0.354167,0.323542,0.261042,0.613958,0.323542,,0.261042,0.613958,0.261042,0.613958,-0.05,-0.05,-0.5,0.333333,0.354167,0.416667,0.333333,0.333333,0.25,0.5,0.5,0.375,0.25,0.5,0.333333,0.5,1,0,0,0.5,0.5,0.333333,0.125,1,0,0.49
"marges","marges;q0.333;c0.125;t0.4900","1.388E-16","1","6","PBias4",0.1,0,0,0,1,1,1,-0.030625,0,0,0.55,0.23,0.0002313,0.0152083,0.030625,0.005388,0.0630417,0.0714167,0.086625,0.000937891,0.030625,0.093125,0.031875,0.379167,0.255,0.255,0.379167,0.348542,0.286042,0.588958,0.348542,,0.286042,0.588958,0.286042,0.588958,-0.05,-0.05,-0.5,0.333333,0.379167,0.416667,0.333333,0.333333,0.35,0.5,0.5,0.425,0.35,0.5,0.333333,0.5,1,0,0,0.5,0.5,0.333333,0.125,1,0,0.49
"marges","marges;q0.333;c0.125;t0.4900","1.388E-16","1","6","PBias5",0.1,0,0,0,1,1,1,-0.0245,0,0,0.55,0.23,0.0021468,0.0463333,0.0245,0.009019,0.0747083,0.0705833,0.110792,0.000937891,0.030625,0.087,0.038,0.404167,0.304,0.304,0.404167,0.379667,0.317167,0.557833,0.379667,,0.317167,0.557833,0.317167,0.557833,-0.05,-0.05,-0.5,0.333333,0.404167,0.416667,0.333333,0.333333,0.45,0.5,0.5,0.475,0.45,0.5,0.333333,0.5,1,0,0,0.5,0.5,0.333333,0.125,1,0,0.49
"marges","marges;q0.333;c0.125;t0.4900","1.388E-16","1","6","PBias6",0.1,0,0,0,1,1,1,-0.018375,0,0,0.55,0.23,0.0059998,0.0774583,0.018375,0.014206,0.091375,0.07475,0.139958,0.000937891,0.030625,0.080875,0.044125,0.429167,0.353,0.353,0.429167,0.410792,0.348292,0.526708,0.410792,,0.348292,0.526708,0.348292,0.526708,-0.05,-0.05,-0.5,0.333333,0.429167,0.416667,0.333333,0.333333,0.55,0.5,0.5,0.525,0.55,0.5,0.333333,0.5,1,0,0,0.5,0.5,0.333333,0.125,1,0,0.49
"marges","marges;q0.333;c0.125;t0.4900","1.388E-16","1","6","PBias7",0.1,0,0,0,1,1,1,-0.01225,0,0,0.65,0.23,0.0117903,0.108583,0.01225,0.02095,0.113042,0.0839167,0.171083,0.000937891,0.030625,0.07475,0.05025,0.454167,0.402,0.402,0.454167,0.441917,0.379417,0.495583,0.441917,,0.379417,0.495583,0.379417,0.495583,-0.05,-0.05,-0.5,0.333333,0.454167,0.416667,0.333333,0.333333,0.65,0.5,0.5,0.575,0.65,0.5,0.333333,0.5,1,0,0,0.5,0.5,0.333333,0.125,1,0,0.49
"marges","marges;q0.333;c0.125;t0.4900","1.388E-16","1","6","PBias8",0.1,0,0,0,1,1,1,-0.006125,0,0,0.65,0.23,0.0195184,0.139708,0.006125,0.02925,0.139708,0.0980833,0.202208,0.000937891,0.030625,0.068625,0.056375,0.479167,0.451,0.451,0.479167,0.473042,0.410542,0.464458,0.473042,,0.410542,0.464458,0.410542,0.464458,-0.05,-0.05,-0.5,0.333333,0.479167,0.416667,0.333333,0.333333,0.75,0.5,0.5,0.625,0.75,0.5,0.333333,0.5,1,0,0,0.5,0.5,0.333333,0.125,1,0,0.49
"marges","marges;q0.333;c0.125;t0.4900","1.388E-16","1","6","PBias9",0.1,0,0,0,1,1,1,0,0,0,0.65,0.23,0.029184,0.170833,1.30104E-18,0.039106,0.170833,0.11725,0.233333,0.000937891,0.030625,0.0625,0.0625,0.504167,0.5,0.5,0.504167,0.504167,0.441667,0.433333,0.504167,,0.441667,0.433333,0.441667,0.433333,-0.05,-0.05,-0.5,0.333333,0.504167,0.416667,0.333333,0.333333,0.85,0.5,0.5,0.675,0.85,0.5,0.333333,0.5,1,0,0,0.5,0.5,0.333333,0.125,1,0,0.49
