"GroupName","OptionSet","Exploit","Refine","Seconds","Filter","All","PQuits","DQuits","Settles","Trial","Shifting","ShiftingOccursIfTrial","ShiftingValueIfTrial","PQuits","DQuits","POffer","DOffer","DMSAcc","DMSAccL1","DMSTrialRelAccL1","AccSq","Accuracy","Accuracy_ForPlaintiff","Accuracy_ForDefendant","TrialRelativeAccSq","TrialRelativeAccuracy","TrialRelativeAccuracy_ForPlaintiff","TrialRelativeAccuracy_ForDefendant","SettlementOrJudgment","DsProportionOfCost","DsProportionOfCostIfTrial","TrialValuePreShiftingIfOccurs","TrialValueWithShiftingIfOccurs","PTrialEffect_IfOccurs","DTrialEffect_IfOccurs","ResolutionValueIncludingShiftedAmount","SettlementValue","PWealth","DWealth","PWelfare","DWelfare","PQuality","DQuality","NQuality","QualitySum","PBestGuess","DBestGuess","QualitySum_PInfo","QualitySum_DInfo","PBias","DBias","NBias","BiasSum","BiasSum_PInfo","BiasSum_DInfo","Quality","Alpha_Quality","Alpha_Both_Quality","Alpha_Plaintiff_Quality","Alpha_Defendant_Quality","Alpha_Plaintiff_Bias","Alpha_Defendant_Bias","Evidence_Both_Quality","TrialCost","FeeShifting","FSMargin","FeeShiftingThreshold"
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","All",1,0,0,0,1,0.25,0.25,0,0,0,0.6,0.17,0.0277778,0.166667,0,0.03809,0.169667,0.169667,0.169667,0,0,0,0,0.333333,0.425,0.425,0.333333,0.333333,0.333333,0.666667,0.333333,,0.333333,0.666667,0.333333,0.666667,-0.05,-0.05,-0.5,0.166667,0.333333,0.333333,0.166667,0.166667,0.5,0.5,0.5,0.5,0.5,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","PBias1",0.1,0,0,0,1,0.2,0.2,0,0,0,0.55,0.17,0.002934,0.0541667,0,0.00809,0.0741667,0.0741667,0.0741667,0,0,0,0,0.220833,0.4,0.4,0.220833,0.220833,0.220833,0.779167,0.220833,,0.220833,0.779167,0.220833,0.779167,-0.05,-0.05,-0.5,0.166667,0.220833,0.333333,0.166667,0.166667,0.05,0.5,0.5,0.275,0.05,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","PBias2",0.1,0,0,0,1,0.2,0.2,0,0,0,0.55,0.17,0.0062674,0.0791667,0,0.011424,0.0875,0.0875,0.0875,0,0,0,0,0.245833,0.4,0.4,0.245833,0.245833,0.245833,0.754167,0.245833,,0.245833,0.754167,0.245833,0.754167,-0.05,-0.05,-0.5,0.166667,0.245833,0.333333,0.166667,0.166667,0.15,0.5,0.5,0.325,0.15,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","PBias3",0.1,0,0,0,1,0.2,0.2,0,0,0,0.55,0.17,0.0108507,0.104167,0,0.016007,0.105833,0.105833,0.105833,0,0,0,0,0.270833,0.4,0.4,0.270833,0.270833,0.270833,0.729167,0.270833,,0.270833,0.729167,0.270833,0.729167,-0.05,-0.05,-0.5,0.166667,0.270833,0.333333,0.166667,0.166667,0.25,0.5,0.5,0.375,0.25,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","PBias4",0.1,0,0,0,1,0.2,0.2,0,0,0,0.55,0.17,0.016684,0.129167,0,0.02184,0.129167,0.129167,0.129167,0,0,0,0,0.295833,0.4,0.4,0.295833,0.295833,0.295833,0.704167,0.295833,,0.295833,0.704167,0.295833,0.704167,-0.05,-0.05,-0.5,0.166667,0.295833,0.333333,0.166667,0.166667,0.35,0.5,0.5,0.425,0.35,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","PBias5",0.1,0,0,0,1,0.2,0.2,0,0,0,0.55,0.17,0.0237674,0.154167,0,0.028924,0.154167,0.154167,0.154167,0,0,0,0,0.320833,0.4,0.4,0.320833,0.320833,0.320833,0.679167,0.320833,,0.320833,0.679167,0.320833,0.679167,-0.05,-0.05,-0.5,0.166667,0.320833,0.333333,0.166667,0.166667,0.45,0.5,0.5,0.475,0.45,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","PBias6",0.1,0,0,0,1,0.2,0.2,0,0,0,0.65,0.17,0.0321007,0.179167,0,0.037257,0.179167,0.179167,0.179167,0,0,0,0,0.345833,0.4,0.4,0.345833,0.345833,0.345833,0.654167,0.345833,,0.345833,0.654167,0.345833,0.654167,-0.05,-0.05,-0.5,0.166667,0.345833,0.333333,0.166667,0.166667,0.55,0.5,0.5,0.525,0.55,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","PBias7",0.1,0,0,0,1,0.2,0.2,0,0,0,0.65,0.17,0.041684,0.204167,0,0.04684,0.204167,0.204167,0.204167,0,0,0,0,0.370833,0.4,0.4,0.370833,0.370833,0.370833,0.629167,0.370833,,0.370833,0.629167,0.370833,0.629167,-0.05,-0.05,-0.5,0.166667,0.370833,0.333333,0.166667,0.166667,0.65,0.5,0.5,0.575,0.65,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","PBias8",0.1,0,0,0,1,0.2,0.2,0,0,0,0.65,0.17,0.0525174,0.229167,0,0.057674,0.229167,0.229167,0.229167,0,0,0,0,0.395833,0.4,0.4,0.395833,0.395833,0.395833,0.604167,0.395833,,0.395833,0.604167,0.395833,0.604167,-0.05,-0.05,-0.5,0.166667,0.395833,0.333333,0.166667,0.166667,0.75,0.5,0.5,0.625,0.75,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","PBias9",0.1,0,0,0,1,0.4,0.4,0,0,0,0.65,0.17,0.0646007,0.254167,0,0.069757,0.254167,0.254167,0.254167,0,0,0,0,0.420833,0.5,0.5,0.420833,0.420833,0.420833,0.579167,0.420833,,0.420833,0.579167,0.420833,0.579167,-0.05,-0.05,-0.5,0.166667,0.420833,0.333333,0.166667,0.166667,0.85,0.5,0.5,0.675,0.85,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","PBias10",0.1,0,0,0,1,0.5,0.5,0,0,0,0.65,0.17,0.077934,0.279167,0,0.08309,0.279167,0.279167,0.279167,0,0,0,0,0.445833,0.55,0.55,0.445833,0.445833,0.445833,0.554167,0.445833,,0.445833,0.554167,0.445833,0.554167,-0.05,-0.05,-0.5,0.166667,0.445833,0.333333,0.166667,0.166667,0.95,0.5,0.5,0.725,0.95,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DBias1",0.1,0,0,0,1,1,1,0,0,0,0.6,0.15,0.002934,0.0541667,0,0.00809,0.0741667,0.0741667,0.0741667,0,0,0,0,0.220833,0,0,0.220833,0.220833,0.220833,0.779167,0.220833,,0.220833,0.779167,0.220833,0.779167,-0.05,-0.05,-0.5,0.166667,0.333333,0.220833,0.166667,0.166667,0.5,0.05,0.5,0.275,0.5,0.05,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DBias2",0.1,0,0,0,1,1,1,0,0,0,0.6,0.15,0.0062674,0.0791667,0,0.011424,0.0875,0.0875,0.0875,0,0,0,0,0.245833,0,0,0.245833,0.245833,0.245833,0.754167,0.245833,,0.245833,0.754167,0.245833,0.754167,-0.05,-0.05,-0.5,0.166667,0.333333,0.245833,0.166667,0.166667,0.5,0.15,0.5,0.325,0.5,0.15,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DBias3",0.1,0,0,0,1,0,0,0,0,0,0.6,0.15,0.0108507,0.104167,0,0.016007,0.105833,0.105833,0.105833,0,0,0,0,0.270833,0.5,0.5,0.270833,0.270833,0.270833,0.729167,0.270833,,0.270833,0.729167,0.270833,0.729167,-0.05,-0.05,-0.5,0.166667,0.333333,0.270833,0.166667,0.166667,0.5,0.25,0.5,0.375,0.5,0.25,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DBias4",0.1,0,0,0,1,0,0,0,0,0,0.6,0.15,0.016684,0.129167,0,0.02184,0.129167,0.129167,0.129167,0,0,0,0,0.295833,0.5,0.5,0.295833,0.295833,0.295833,0.704167,0.295833,,0.295833,0.704167,0.295833,0.704167,-0.05,-0.05,-0.5,0.166667,0.333333,0.295833,0.166667,0.166667,0.5,0.35,0.5,0.425,0.5,0.35,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DBias5",0.1,0,0,0,1,0,0,0,0,0,0.6,0.15,0.0237674,0.154167,0,0.028924,0.154167,0.154167,0.154167,0,0,0,0,0.320833,0.5,0.5,0.320833,0.320833,0.320833,0.679167,0.320833,,0.320833,0.679167,0.320833,0.679167,-0.05,-0.05,-0.5,0.166667,0.333333,0.320833,0.166667,0.166667,0.5,0.45,0.5,0.475,0.5,0.45,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DBias6",0.1,0,0,0,1,0,0,0,0,0,0.6,0.15,0.0321007,0.179167,0,0.037257,0.179167,0.179167,0.179167,0,0,0,0,0.345833,0.5,0.5,0.345833,0.345833,0.345833,0.654167,0.345833,,0.345833,0.654167,0.345833,0.654167,-0.05,-0.05,-0.5,0.166667,0.333333,0.345833,0.166667,0.166667,0.5,0.55,0.5,0.525,0.5,0.55,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DBias7",0.1,0,0,0,1,0,0,0,0,0,0.6,0.15,0.041684,0.204167,0,0.04684,0.204167,0.204167,0.204167,0,0,0,0,0.370833,0.5,0.5,0.370833,0.370833,0.370833,0.629167,0.370833,,0.370833,0.629167,0.370833,0.629167,-0.05,-0.05,-0.5,0.166667,0.333333,0.370833,0.166667,0.166667,0.5,0.65,0.5,0.575,0.5,0.65,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DBias8",0.1,0,0,0,1,0.1,0.1,0,0,0,0.6,0.15,0.0525174,0.229167,0,0.057674,0.229167,0.229167,0.229167,0,0,0,0,0.395833,0.55,0.55,0.395833,0.395833,0.395833,0.604167,0.395833,,0.395833,0.604167,0.395833,0.604167,-0.05,-0.05,-0.5,0.166667,0.333333,0.395833,0.166667,0.166667,0.5,0.75,0.5,0.625,0.5,0.75,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DBias9",0.1,0,0,0,1,0.2,0.2,0,0,0,0.6,0.25,0.0646007,0.254167,0,0.069757,0.254167,0.254167,0.254167,0,0,0,0,0.420833,0.6,0.6,0.420833,0.420833,0.420833,0.579167,0.420833,,0.420833,0.579167,0.420833,0.579167,-0.05,-0.05,-0.5,0.166667,0.333333,0.420833,0.166667,0.166667,0.5,0.85,0.5,0.675,0.5,0.85,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DBias10",0.1,0,0,0,1,0.2,0.2,0,0,0,0.6,0.25,0.077934,0.279167,0,0.08309,0.279167,0.279167,0.279167,0,0,0,0,0.445833,0.6,0.6,0.445833,0.445833,0.445833,0.554167,0.445833,,0.445833,0.554167,0.445833,0.554167,-0.05,-0.05,-0.5,0.166667,0.333333,0.445833,0.166667,0.166667,0.5,0.95,0.5,0.725,0.5,0.95,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","POffer1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","POffer2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","POffer3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","POffer4",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","POffer5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","POffer6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","POffer7",0.5,0,0,0,1,0.2,0.2,0,0,0,0.55,0.17,0.0108507,0.104167,0,0.017257,0.110167,0.110167,0.110167,0,0,0,0,0.270833,0.4,0.4,0.270833,0.270833,0.270833,0.729167,0.270833,,0.270833,0.729167,0.270833,0.729167,-0.05,-0.05,-0.5,0.166667,0.270833,0.333333,0.166667,0.166667,0.25,0.5,0.5,0.375,0.25,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","POffer8",0.5,0,0,0,1,0.3,0.3,0,0,0,0.65,0.17,0.0525174,0.229167,0,0.058924,0.229167,0.229167,0.229167,0,0,0,0,0.395833,0.45,0.45,0.395833,0.395833,0.395833,0.604167,0.395833,,0.395833,0.604167,0.395833,0.604167,-0.05,-0.05,-0.5,0.166667,0.395833,0.333333,0.166667,0.166667,0.75,0.5,0.5,0.625,0.75,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","POffer9",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","POffer10",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","POffer11",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","POffer12",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DOffer1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DOffer2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DOffer3",0.8,0,0,0,1,0.2625,0.2625,0,0,0,0.6,0.15,0.0200694,0.141667,0,0.028507,0.145417,0.145417,0.145417,0,0,0,0,0.308333,0.38125,0.38125,0.308333,0.308333,0.308333,0.691667,0.308333,,0.308333,0.691667,0.308333,0.691667,-0.05,-0.05,-0.5,0.166667,0.333333,0.308333,0.166667,0.166667,0.5,0.4,0.5,0.45,0.5,0.4,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DOffer4",0.2,0,0,0,1,0.2,0.2,0,0,0,0.6,0.25,0.0711111,0.266667,0,0.076424,0.266667,0.266667,0.266667,0,0,0,0,0.433333,0.6,0.6,0.433333,0.433333,0.433333,0.566667,0.433333,,0.433333,0.566667,0.433333,0.566667,-0.05,-0.05,-0.5,0.166667,0.333333,0.433333,0.166667,0.166667,0.5,0.9,0.5,0.7,0.5,0.9,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DOffer5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DOffer6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DOffer7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DOffer8",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DOffer9",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DOffer10",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DOffer11",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","DOffer12",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","QualitySum1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","QualitySum2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","QualitySum3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","QualitySum4",1,0,0,0,1,0.25,0.25,0,0,0,0.6,0.17,0.0277778,0.166667,0,0.03809,0.169667,0.169667,0.169667,0,0,0,0,0.333333,0.425,0.425,0.333333,0.333333,0.333333,0.666667,0.333333,,0.333333,0.666667,0.333333,0.666667,-0.05,-0.05,-0.5,0.166667,0.333333,0.333333,0.166667,0.166667,0.5,0.5,0.5,0.5,0.5,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0,1,0,0.59
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","QualitySum5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","QualitySum6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","QualitySum7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","QualitySum8",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","QualitySum9",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","QualitySum10",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","QualitySum11",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","QualitySum12",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","QualitySum13",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","QualitySum14",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","QualitySum15",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","QualitySum16",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","QualitySum17",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"noshareq","noshareq;q0.167;c0.000;t0.5900","-4.996000000000001E-16","1","16","QualitySum18",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
