"GroupName","OptionSet","Exploit","Refine","Seconds","Filter","All","PQuits","DQuits","Settles","Trial","Shifting","ShiftingOccursIfTrial","ShiftingValueIfTrial","PQuits","DQuits","POffer","DOffer","DMSAcc","DMSAccL1","DMSTrialRelAccL1","AccSq","Accuracy","Accuracy_ForPlaintiff","Accuracy_ForDefendant","TrialRelativeAccSq","TrialRelativeAccuracy","TrialRelativeAccuracy_ForPlaintiff","TrialRelativeAccuracy_ForDefendant","SettlementOrJudgment","DsProportionOfCost","DsProportionOfCostIfTrial","TrialValuePreShiftingIfOccurs","TrialValueWithShiftingIfOccurs","PTrialEffect_IfOccurs","DTrialEffect_IfOccurs","ResolutionValueIncludingShiftedAmount","SettlementValue","PWealth","DWealth","PWelfare","DWelfare","PQuality","DQuality","NQuality","QualitySum","PBestGuess","DBestGuess","QualitySum_PInfo","QualitySum_DInfo","PBias","DBias","NBias","BiasSum","BiasSum_PInfo","BiasSum_DInfo","Quality","Alpha_Quality","Alpha_Both_Quality","Alpha_Plaintiff_Quality","Alpha_Defendant_Quality","Alpha_Plaintiff_Bias","Alpha_Defendant_Bias","Evidence_Both_Quality","TrialCost","FeeShifting","FSMargin","FeeShiftingThreshold"
"ordes","ordes;q0.167;c0.125;t0.7000","1.388E-16","1","8","All",1,0,0,0.09,0.91,0.91,1,-0.0385,0,0,0.5,0.14,0.0155262,0.124604,0.0420625,0.028786,0.135062,0.0976458,0.185563,0.0027418,0.0476458,0.0992708,0.0301458,0.325833,0.2235,0.192,0.333333,0.294833,0.232333,0.642667,0.291271,0.15,0.234396,0.651854,0.234396,0.651854,-0.05,-0.05,-0.5,0.166667,0.333333,0.333333,0.166667,0.166667,0.5,0.5,0.5,0.5,0.5,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.7
"ordes","ordes;q0.167;c0.125;t0.7000","1.388E-16","1","8","PBias1",0.1,0,0,0.9,0.1,0.1,1,-0.04375,0,0,0.15,0.14,0.0006355,0.0252083,0.079375,0.001292,0.0252083,0.0314583,0.0189583,0.0101914,0.0827083,0.0889583,0.0802083,0.145833,0.465,0.15,0.220833,0.177083,0.114583,0.760417,0.141458,0.15,0.135208,0.852292,0.135208,0.852292,-0.05,-0.05,-0.5,0.166667,0.220833,0.333333,0.166667,0.166667,0.05,0.5,0.5,0.275,0.05,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.7
"ordes","ordes;q0.167;c0.125;t0.7000","1.388E-16","1","8","PBias2",0.1,0,0,0,1,1,1,-0.04375,0,0,0.45,0.14,0.0012543,0.0354167,0.04375,0.006411,0.0670833,0.0654167,0.100833,0.00191406,0.04375,0.10625,0.01875,0.245833,0.15,0.15,0.245833,0.202083,0.139583,0.735417,0.202083,,0.139583,0.735417,0.139583,0.735417,-0.05,-0.05,-0.5,0.166667,0.245833,0.333333,0.166667,0.166667,0.15,0.5,0.5,0.325,0.15,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.7
"ordes","ordes;q0.167;c0.125;t0.7000","1.388E-16","1","8","PBias3",0.1,0,0,0,1,1,1,-0.04375,0,0,0.45,0.14,0.0036502,0.0604167,0.04375,0.008806,0.0766667,0.0625,0.122917,0.00191406,0.04375,0.10625,0.01875,0.270833,0.15,0.15,0.270833,0.227083,0.164583,0.710417,0.227083,,0.164583,0.710417,0.164583,0.710417,-0.05,-0.05,-0.5,0.166667,0.270833,0.333333,0.166667,0.166667,0.25,0.5,0.5,0.375,0.25,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.7
"ordes","ordes;q0.167;c0.125;t0.7000","1.388E-16","1","8","PBias4",0.1,0,0,0,1,1,1,-0.04375,0,0,0.45,0.14,0.007296,0.0854167,0.04375,0.012452,0.09125,0.0645833,0.147917,0.00191406,0.04375,0.10625,0.01875,0.295833,0.15,0.15,0.295833,0.252083,0.189583,0.685417,0.252083,,0.189583,0.685417,0.189583,0.685417,-0.05,-0.05,-0.5,0.166667,0.295833,0.333333,0.166667,0.166667,0.35,0.5,0.5,0.425,0.35,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.7
"ordes","ordes;q0.167;c0.125;t0.7000","1.388E-16","1","8","PBias5",0.1,0,0,0,1,1,1,-0.04375,0,0,0.55,0.14,0.0121918,0.110417,0.04375,0.017348,0.110833,0.0716667,0.172917,0.00191406,0.04375,0.10625,0.01875,0.320833,0.15,0.15,0.320833,0.277083,0.214583,0.660417,0.277083,,0.214583,0.660417,0.214583,0.660417,-0.05,-0.05,-0.5,0.166667,0.320833,0.333333,0.166667,0.166667,0.45,0.5,0.5,0.475,0.45,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.7
"ordes","ordes;q0.167;c0.125;t0.7000","1.388E-16","1","8","PBias6",0.1,0,0,0,1,1,1,-0.04375,0,0,0.55,0.14,0.0183377,0.135417,0.04375,0.023494,0.135417,0.08375,0.197917,0.00191406,0.04375,0.10625,0.01875,0.345833,0.15,0.15,0.345833,0.302083,0.239583,0.635417,0.302083,,0.239583,0.635417,0.239583,0.635417,-0.05,-0.05,-0.5,0.166667,0.345833,0.333333,0.166667,0.166667,0.55,0.5,0.5,0.525,0.55,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.7
"ordes","ordes;q0.167;c0.125;t0.7000","1.388E-16","1","8","PBias7",0.1,0,0,0,1,1,1,-0.04375,0,0,0.55,0.14,0.0257335,0.160417,0.04375,0.03089,0.160417,0.100833,0.222917,0.00191406,0.04375,0.10625,0.01875,0.370833,0.15,0.15,0.370833,0.327083,0.264583,0.610417,0.327083,,0.264583,0.610417,0.264583,0.610417,-0.05,-0.05,-0.5,0.166667,0.370833,0.333333,0.166667,0.166667,0.65,0.5,0.5,0.575,0.65,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.7
"ordes","ordes;q0.167;c0.125;t0.7000","1.388E-16","1","8","PBias8",0.1,0,0,0,1,1,1,-0.035,0,0,0.55,0.14,0.0377007,0.194167,0.035,0.045515,0.194167,0.131667,0.256667,0.00191406,0.04375,0.0975,0.0275,0.395833,0.22,0.22,0.395833,0.360833,0.298333,0.576667,0.360833,,0.298333,0.576667,0.298333,0.576667,-0.05,-0.05,-0.5,0.166667,0.395833,0.333333,0.166667,0.166667,0.75,0.5,0.5,0.625,0.75,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.7
"ordes","ordes;q0.167;c0.125;t0.7000","1.388E-16","1","8","PBias9",0.1,0,0,0,1,1,1,-0.02625,0,0,0.65,0.14,0.051946,0.227917,0.02625,0.061827,0.227917,0.165417,0.290417,0.00191406,0.04375,0.08875,0.03625,0.420833,0.29,0.29,0.420833,0.394583,0.332083,0.542917,0.394583,,0.332083,0.542917,0.332083,0.542917,-0.05,-0.05,-0.5,0.166667,0.420833,0.333333,0.166667,0.166667,0.85,0.5,0.5,0.675,0.85,0.5,0.166667,0.5,1,0,0,0.5,0.5,0.166667,0.125,1,0,0.7
