"GroupName","OptionSet","Exploit","Refine","Seconds","Filter","All","PQuits","DQuits","Settles","Trial","Shifting","ShiftingOccursIfTrial","ShiftingValueIfTrial","PQuits","DQuits","POffer","DOffer","DMSAcc","DMSAccL1","DMSTrialRelAccL1","AccSq","Accuracy","Accuracy_ForPlaintiff","Accuracy_ForDefendant","TrialRelativeAccSq","TrialRelativeAccuracy","TrialRelativeAccuracy_ForPlaintiff","TrialRelativeAccuracy_ForDefendant","SettlementOrJudgment","DsProportionOfCost","DsProportionOfCostIfTrial","TrialValuePreShiftingIfOccurs","TrialValueWithShiftingIfOccurs","PTrialEffect_IfOccurs","DTrialEffect_IfOccurs","ResolutionValueIncludingShiftedAmount","SettlementValue","PWealth","DWealth","PWelfare","DWelfare","PQuality","DQuality","NQuality","QualitySum","PBestGuess","DBestGuess","QualitySum_PInfo","QualitySum_DInfo","PBias","DBias","NBias","BiasSum","BiasSum_PInfo","BiasSum_DInfo","Quality","Alpha_Quality","Alpha_Both_Quality","Alpha_Plaintiff_Quality","Alpha_Defendant_Quality","Alpha_Plaintiff_Bias","Alpha_Defendant_Bias","Evidence_Both_Quality","TrialCost","FeeShifting","FSMargin","FeeShiftingThreshold"
"orig","orig;q0.833;c0.250;t0.8600","-4.441000000000001E-16","1","16","All",1,0,0,0.63,0.37,0.35,0.35,0.03375,0,0,0.86,0.74,0.000148,0.0121667,0.1545,0.016557,0.0688333,0.0840833,0.0760833,0.0360792,0.1645,0.13325,0.20075,0.787417,0.635,0.635,0.666667,0.700417,0.575417,0.174583,0.821167,0.85,0.774917,0.132583,0.774917,0.132583,-0.05,-0.05,-0.5,0.833333,0.666667,0.666667,0.833333,0.833333,0.5,0.5,0.5,0.5,0.5,0.5,0.833333,0.5,1,0,0,0.833333,0.166667,0.833333,0.25,1,0,0.86
"orig","orig;q0.833;c0.250;t0.8600","-4.441000000000001E-16","1","16","PBias1",0.1,0,0,0.7,0.3,0.2,0.2,-0.025,0,0,0.85,0.74,0.0164694,0.128333,0.225833,0.066792,0.151667,0.189167,0.114167,0.0932014,0.275833,0.313333,0.263333,0.73,0.4,0.4,0.479167,0.454167,0.329167,0.420833,0.705,0.85,0.6675,0.2575,0.6675,0.2575,-0.05,-0.05,-0.5,0.833333,0.479167,0.666667,0.833333,0.833333,0.05,0.5,0.5,0.125,0.05,0.5,0.833333,0.5,1,0,0,0.833333,0.166667,0.833333,0.25,1,0,0.86
"orig","orig;q0.833;c0.250;t0.8600","-4.441000000000001E-16","1","16","PBias2",0.1,0,0,0.7,0.3,0.2,0.2,-0.025,0,0,0.85,0.74,0.0134174,0.115833,0.196667,0.055646,0.139167,0.176667,0.101667,0.0735139,0.246667,0.284167,0.234167,0.7425,0.4,0.4,0.520833,0.495833,0.370833,0.379167,0.7175,0.85,0.68,0.245,0.68,0.245,-0.05,-0.05,-0.5,0.833333,0.520833,0.666667,0.833333,0.833333,0.15,0.5,0.5,0.208333,0.15,0.5,0.833333,0.5,1,0,0,0.833333,0.166667,0.833333,0.25,1,0,0.86
"orig","orig;q0.833;c0.250;t0.8600","-4.441000000000001E-16","1","16","PBias3",0.1,0,0,0.7,0.3,0.3,0.3,0.0375,0,0,0.85,0.74,0.0016674,0.0408333,0.23,0.009396,0.0641667,0.101667,0.0266667,0.0578194,0.23,0.1925,0.2675,0.755,0.65,0.65,0.5625,0.6,0.475,0.275,0.7925,0.85,0.755,0.17,0.755,0.17,-0.05,-0.05,-0.5,0.833333,0.5625,0.666667,0.833333,0.833333,0.25,0.5,0.5,0.291667,0.25,0.5,0.833333,0.5,1,0,0,0.833333,0.166667,0.833333,0.25,1,0,0.86
"orig","orig;q0.833;c0.250;t0.8600","-4.441000000000001E-16","1","16","PBias4",0.1,0,0,0.7,0.3,0.3,0.3,0.0375,0,0,0.85,0.74,0.0008028,0.0283333,0.200833,0.005542,0.0516667,0.0891667,0.0141667,0.0429931,0.200833,0.163333,0.238333,0.7675,0.65,0.65,0.604167,0.641667,0.516667,0.233333,0.805,0.85,0.7675,0.1575,0.7675,0.1575,-0.05,-0.05,-0.5,0.833333,0.604167,0.666667,0.833333,0.833333,0.35,0.5,0.5,0.375,0.35,0.5,0.833333,0.5,1,0,0,0.833333,0.166667,0.833333,0.25,1,0,0.86
"orig","orig;q0.833;c0.250;t0.8600","-4.441000000000001E-16","1","16","PBias5",0.1,0,0,0.7,0.3,0.3,0.3,0.0375,0,0,0.85,0.74,0.0002507,0.0158333,0.171667,0.002729,0.0391667,0.0766667,0.0216667,0.0305972,0.171667,0.134167,0.209167,0.78,0.65,0.65,0.645833,0.683333,0.558333,0.191667,0.8175,0.85,0.78,0.145,0.78,0.145,-0.05,-0.05,-0.5,0.833333,0.645833,0.666667,0.833333,0.833333,0.45,0.5,0.5,0.458333,0.45,0.5,0.833333,0.5,1,0,0,0.833333,0.166667,0.833333,0.25,1,0,0.86
"orig","orig;q0.833;c0.250;t0.8600","-4.441000000000001E-16","1","16","PBias6",0.1,0,0,0.7,0.3,0.3,0.3,0.0375,0,0,0.85,0.74,1.1111E-5,0.00333333,0.1425,0.000958,0.0266667,0.0641667,0.0341667,0.0206319,0.1425,0.105,0.18,0.7925,0.65,0.65,0.6875,0.725,0.6,0.15,0.83,0.85,0.7925,0.1325,0.7925,0.1325,-0.05,-0.05,-0.5,0.833333,0.6875,0.666667,0.833333,0.833333,0.55,0.5,0.5,0.541667,0.55,0.5,0.833333,0.5,1,0,0,0.833333,0.166667,0.833333,0.25,1,0,0.86
"orig","orig;q0.833;c0.250;t0.8600","-4.441000000000001E-16","1","16","PBias7",0.1,0,0,0.7,0.3,0.3,0.3,0.0375,0,0,0.85,0.74,8.4028E-5,0.00916667,0.113333,0.000229,0.0141667,0.0516667,0.0466667,0.0130972,0.113333,0.0758333,0.150833,0.805,0.65,0.65,0.729167,0.766667,0.641667,0.108333,0.8425,0.85,0.805,0.12,0.805,0.12,-0.05,-0.05,-0.5,0.833333,0.729167,0.666667,0.833333,0.833333,0.65,0.5,0.5,0.625,0.65,0.5,0.833333,0.5,1,0,0,0.833333,0.166667,0.833333,0.25,1,0,0.86
"orig","orig;q0.833;c0.250;t0.8600","-4.441000000000001E-16","1","16","PBias8",0.1,0,0,0.7,0.3,0.3,0.3,0.0375,0,0,0.85,0.74,0.0004694,0.0216667,0.0841667,0.000542,0.0216667,0.0391667,0.0591667,0.00799306,0.0841667,0.0466667,0.121667,0.8175,0.65,0.65,0.770833,0.808333,0.683333,0.0666667,0.855,0.85,0.8175,0.1075,0.8175,0.1075,-0.05,-0.05,-0.5,0.833333,0.770833,0.666667,0.833333,0.833333,0.75,0.5,0.5,0.708333,0.75,0.5,0.833333,0.5,1,0,0,0.833333,0.166667,0.833333,0.25,1,0,0.86
"orig","orig;q0.833;c0.250;t0.8600","-4.441000000000001E-16","1","16","PBias9",0.1,0,0,0.7,0.3,0.3,0.3,0.0375,0,0,0.85,0.74,0.0011674,0.0341667,0.055,0.001896,0.0341667,0.0266667,0.0716667,0.00531944,0.055,0.0175,0.0925,0.83,0.65,0.65,0.8125,0.85,0.725,0.025,0.8675,0.85,0.83,0.095,0.83,0.095,-0.05,-0.05,-0.5,0.833333,0.8125,0.666667,0.833333,0.833333,0.85,0.5,0.5,0.791667,0.85,0.5,0.833333,0.5,1,0,0,0.833333,0.166667,0.833333,0.25,1,0,0.86
"orig","orig;q0.833;c0.250;t0.8600","-4.441000000000001E-16","1","16","PBias10",0.1,0,0,0,1,1,1,0.125,0,0,0.95,0.74,0.0212674,0.145833,0.125,0.02184,0.145833,0.0258333,0.270833,0.015625,0.125,0,0.25,0.854167,1,1,0.854167,0.979167,0.854167,-0.104167,0.979167,,0.854167,-0.104167,0.854167,-0.104167,-0.05,-0.05,-0.5,0.833333,0.854167,0.666667,0.833333,0.833333,0.95,0.5,0.5,0.875,0.95,0.5,0.833333,0.5,1,0,0,0.833333,0.166667,0.833333,0.25,1,0,0.86
"orig","orig;q0.833;c0.250;t0.8600","-4.441000000000001E-16","1","16","DBias1",0.1,0,0,0,1,1,1,0.075,0,0,0.86,0.45,0.016684,0.129167,0.075,0.057674,0.169167,0.254167,0.159167,0.015625,0.125,0.05,0.2,0.629167,0.8,0.8,0.629167,0.704167,0.579167,0.170833,0.704167,,0.579167,0.170833,0.579167,0.170833,-0.05,-0.05,-0.5,0.833333,0.666667,0.629167,0.833333,0.833333,0.5,0.05,0.5,0.425,0.5,0.05,0.833333,0.5,1,0,0,0.833333,0.166667,0.833333,0.25,1,0,0.86
