"GroupName","OptionSet","Exploit","Refine","Seconds","Filter","All","PQuits","DQuits","Settles","Trial","Shifting","ShiftingOccursIfTrial","ShiftingValueIfTrial","PQuits","DQuits","POffer","DOffer","DMSAcc","DMSAccL1","DMSTrialRelAccL1","AccSq","Accuracy","Accuracy_ForPlaintiff","Accuracy_ForDefendant","TrialRelativeAccSq","TrialRelativeAccuracy","TrialRelativeAccuracy_ForPlaintiff","TrialRelativeAccuracy_ForDefendant","SettlementOrJudgment","DsProportionOfCost","DsProportionOfCostIfTrial","TrialValuePreShiftingIfOccurs","TrialValueWithShiftingIfOccurs","PTrialEffect_IfOccurs","DTrialEffect_IfOccurs","ResolutionValueIncludingShiftedAmount","SettlementValue","PWealth","DWealth","PWelfare","DWelfare","PQuality","DQuality","NQuality","QualitySum","PBestGuess","DBestGuess","QualitySum_PInfo","QualitySum_DInfo","PBias","DBias","NBias","BiasSum","BiasSum_PInfo","BiasSum_DInfo","Quality","Alpha_Quality","Alpha_Both_Quality","Alpha_Plaintiff_Quality","Alpha_Defendant_Quality","Alpha_Plaintiff_Bias","Alpha_Defendant_Bias","Evidence_Both_Quality","TrialCost","FeeShifting","FSMargin","FeeShiftingThreshold"
"pinfo25q","pinfo25q;q0.500;c0.250;t0.5700","1.11E-16","1","21","All",1,0,0,0.4,0.6,0.39,0.39,-0.04875,0,0,0.65,0.4,0.0011391,0.03375,0.03375,0.032953,0.1605,0.22875,0.13125,0.007875,0.0705,0.1455,0.048,0.515,0.305,0.305,0.5,0.45125,0.32625,0.42375,0.46625,0.65,0.39125,0.45875,0.39125,0.45875,-0.05,-0.05,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,0.25,0.75,0.5,0.25,1,0,0.57
"pinfo25q","pinfo25q;q0.500;c0.250;t0.5700","1.11E-16","1","21","PBias1",0.1,0,0,0.4,0.6,0.4,0.4,-0.05,0,0,0.65,0.4,0.0047266,0.06875,0.0125,0.044922,0.18875,0.26375,0.14125,0.0104688,0.0875,0.1625,0.0625,0.48125,0.3,0.3,0.44375,0.39375,0.26875,0.48125,0.43125,0.65,0.35625,0.49375,0.35625,0.49375,-0.05,-0.05,-0.5,0.5,0.44375,0.5,0.5,0.5,0.05,0.5,0.5,0.3875,0.05,0.5,0.5,0.5,1,0,0,0.25,0.75,0.5,0.25,1,0,0.57
"pinfo25q","pinfo25q;q0.500;c0.250;t0.5700","1.11E-16","1","21","PBias2",0.1,0,0,0.4,0.6,0.4,0.4,-0.05,0,0,0.65,0.4,0.0037516,0.06125,0.0175,0.041797,0.18125,0.25625,0.13875,0.00959375,0.0825,0.1575,0.0575,0.48875,0.3,0.3,0.45625,0.40625,0.28125,0.46875,0.43875,0.65,0.36375,0.48625,0.36375,0.48625,-0.05,-0.05,-0.5,0.5,0.45625,0.5,0.5,0.5,0.15,0.5,0.5,0.4125,0.15,0.5,0.5,0.5,1,0,0,0.25,0.75,0.5,0.25,1,0,0.57
"pinfo25q","pinfo25q;q0.500;c0.250;t0.5700","1.11E-16","1","21","PBias3",0.1,0,0,0.4,0.6,0.4,0.4,-0.05,0,0,0.65,0.4,0.0028891,0.05375,0.0225,0.038859,0.17375,0.24875,0.13625,0.00884375,0.0775,0.1525,0.0525,0.49625,0.3,0.3,0.46875,0.41875,0.29375,0.45625,0.44625,0.65,0.37125,0.47875,0.37125,0.47875,-0.05,-0.05,-0.5,0.5,0.46875,0.5,0.5,0.5,0.25,0.5,0.5,0.4375,0.25,0.5,0.5,0.5,1,0,0,0.25,0.75,0.5,0.25,1,0,0.57
"pinfo25q","pinfo25q;q0.500;c0.250;t0.5700","1.11E-16","1","21","PBias4",0.1,0,0,0.4,0.6,0.4,0.4,-0.05,0,0,0.65,0.4,0.0021391,0.04625,0.0275,0.036109,0.16625,0.24125,0.13375,0.00821875,0.0725,0.1475,0.0475,0.50375,0.3,0.3,0.48125,0.43125,0.30625,0.44375,0.45375,0.65,0.37875,0.47125,0.37875,0.47125,-0.05,-0.05,-0.5,0.5,0.48125,0.5,0.5,0.5,0.35,0.5,0.5,0.4625,0.35,0.5,0.5,0.5,1,0,0,0.25,0.75,0.5,0.25,1,0,0.57
"pinfo25q","pinfo25q;q0.500;c0.250;t0.5700","1.11E-16","1","21","PBias5",0.1,0,0,0.4,0.6,0.4,0.4,-0.05,0,0,0.65,0.4,0.0015016,0.03875,0.0325,0.033547,0.16125,0.23375,0.13125,0.00771875,0.07,0.145,0.045,0.51125,0.3,0.3,0.49375,0.44375,0.31875,0.43125,0.46125,0.65,0.38625,0.46375,0.38625,0.46375,-0.05,-0.05,-0.5,0.5,0.49375,0.5,0.5,0.5,0.45,0.5,0.5,0.4875,0.45,0.5,0.5,0.5,1,0,0,0.25,0.75,0.5,0.25,1,0,0.57
"pinfo25q","pinfo25q;q0.500;c0.250;t0.5700","1.11E-16","1","21","PBias6",0.1,0,0,0.4,0.6,0.4,0.4,-0.05,0,0,0.65,0.4,0.0009766,0.03125,0.0375,0.031172,0.15625,0.22625,0.12875,0.00734375,0.0675,0.1425,0.0425,0.51875,0.3,0.3,0.50625,0.45625,0.33125,0.41875,0.46875,0.65,0.39375,0.45625,0.39375,0.45625,-0.05,-0.05,-0.5,0.5,0.50625,0.5,0.5,0.5,0.55,0.5,0.5,0.5125,0.55,0.5,0.5,0.5,1,0,0,0.25,0.75,0.5,0.25,1,0,0.57
"pinfo25q","pinfo25q;q0.500;c0.250;t0.5700","1.11E-16","1","21","PBias7",0.1,0,0,0.4,0.6,0.4,0.4,-0.05,0,0,0.65,0.4,0.0005641,0.02375,0.0425,0.028984,0.15125,0.21875,0.12625,0.00709375,0.065,0.14,0.04,0.52625,0.3,0.3,0.51875,0.46875,0.34375,0.40625,0.47625,0.65,0.40125,0.44875,0.40125,0.44875,-0.05,-0.05,-0.5,0.5,0.51875,0.5,0.5,0.5,0.65,0.5,0.5,0.5375,0.65,0.5,0.5,0.5,1,0,0,0.25,0.75,0.5,0.25,1,0,0.57
"pinfo25q","pinfo25q;q0.500;c0.250;t0.5700","1.11E-16","1","21","PBias8",0.1,0,0,0.4,0.6,0.4,0.4,-0.05,0,0,0.65,0.4,0.0002641,0.01625,0.0475,0.026984,0.14875,0.21125,0.12375,0.00696875,0.065,0.14,0.04,0.53375,0.3,0.3,0.53125,0.48125,0.35625,0.39375,0.48375,0.65,0.40875,0.44125,0.40875,0.44125,-0.05,-0.05,-0.5,0.5,0.53125,0.5,0.5,0.5,0.75,0.5,0.5,0.5625,0.75,0.5,0.5,0.5,1,0,0,0.25,0.75,0.5,0.25,1,0,0.57
"pinfo25q","pinfo25q;q0.500;c0.250;t0.5700","1.11E-16","1","21","PBias9",0.1,0,0,0.4,0.6,0.4,0.4,-0.05,0,0,0.65,0.4,7.6562E-5,0.00875,0.0525,0.025172,0.14625,0.20375,0.12125,0.00696875,0.065,0.14,0.04,0.54125,0.3,0.3,0.54375,0.49375,0.36875,0.38125,0.49125,0.65,0.41625,0.43375,0.41625,0.43375,-0.05,-0.05,-0.5,0.5,0.54375,0.5,0.5,0.5,0.85,0.5,0.5,0.5875,0.85,0.5,0.5,0.5,1,0,0,0.25,0.75,0.5,0.25,1,0,0.57
