"GroupName","OptionSet","Exploit","Refine","Seconds","Filter","All","PQuits","DQuits","Settles","Trial","Shifting","ShiftingOccursIfTrial","ShiftingValueIfTrial","PQuits","DQuits","POffer","DOffer","DMSAcc","DMSAccL1","DMSTrialRelAccL1","AccSq","Accuracy","Accuracy_ForPlaintiff","Accuracy_ForDefendant","TrialRelativeAccSq","TrialRelativeAccuracy","TrialRelativeAccuracy_ForPlaintiff","TrialRelativeAccuracy_ForDefendant","SettlementOrJudgment","DsProportionOfCost","DsProportionOfCostIfTrial","TrialValuePreShiftingIfOccurs","TrialValueWithShiftingIfOccurs","PTrialEffect_IfOccurs","DTrialEffect_IfOccurs","ResolutionValueIncludingShiftedAmount","SettlementValue","PWealth","DWealth","PWelfare","DWelfare","PQuality","DQuality","NQuality","QualitySum","PBestGuess","DBestGuess","QualitySum_PInfo","QualitySum_DInfo","PBias","DBias","NBias","BiasSum","BiasSum_PInfo","BiasSum_DInfo","Quality","Alpha_Quality","Alpha_Both_Quality","Alpha_Plaintiff_Quality","Alpha_Defendant_Quality","Alpha_Plaintiff_Bias","Alpha_Defendant_Bias","Evidence_Both_Quality","TrialCost","FeeShifting","FSMargin","FeeShiftingThreshold"
"pinfo25","pinfo25;q0.667;c0.250;t0.3600","1.9430000000000002E-16","1","5","All",1,0,0,0.7,0.3,0.1,0.1,-0.0125,0,0,0.65,0.55,0.0078396,0.0885417,0.00520833,0.022541,0.0885417,0.126042,0.051125,0.0064783,0.061875,0.099375,0.074375,0.590625,0.45,0.45,0.583333,0.570833,0.445833,0.304167,0.578125,0.65,0.540625,0.384375,0.540625,0.384375,-0.05,-0.05,-0.5,0.666667,0.583333,0.583333,0.666667,0.666667,0.5,0.5,0.5,0.5,0.5,0.5,0.666667,0.5,1,0,0,0.25,0.75,0.666667,0.25,1,0,0.36
"pinfo25","pinfo25;q0.667;c0.250;t0.3600","1.9430000000000002E-16","1","5","PBias1",0.1,0,0,0.7,0.3,0.1,0.1,-0.0125,0,0,0.65,0.55,0.0111127,0.105417,0.0341667,0.031752,0.105417,0.142917,0.0679167,0.00861111,0.07,0.1075,0.0825,0.57375,0.45,0.45,0.527083,0.514583,0.389583,0.360417,0.56125,0.65,0.52375,0.40125,0.52375,0.40125,-0.05,-0.05,-0.5,0.666667,0.527083,0.583333,0.666667,0.666667,0.05,0.5,0.5,0.3875,0.05,0.5,0.666667,0.5,1,0,0,0.25,0.75,0.666667,0.25,1,0,0.36
"pinfo25","pinfo25;q0.667;c0.250;t0.3600","1.9430000000000002E-16","1","5","PBias2",0.1,0,0,0.7,0.3,0.1,0.1,-0.0125,0,0,0.65,0.55,0.0103361,0.101667,0.0254167,0.029455,0.101667,0.139167,0.0641667,0.00755382,0.06625,0.10375,0.07875,0.5775,0.45,0.45,0.539583,0.527083,0.402083,0.347917,0.565,0.65,0.5275,0.3975,0.5275,0.3975,-0.05,-0.05,-0.5,0.666667,0.539583,0.583333,0.666667,0.666667,0.15,0.5,0.5,0.4125,0.15,0.5,0.666667,0.5,1,0,0,0.25,0.75,0.666667,0.25,1,0,0.36
"pinfo25","pinfo25;q0.667;c0.250;t0.3600","1.9430000000000002E-16","1","5","PBias3",0.1,0,0,0.7,0.3,0.1,0.1,-0.0125,0,0,0.65,0.55,0.0095877,0.0979167,0.0166667,0.027252,0.0979167,0.135417,0.0604167,0.00671528,0.0625,0.1,0.075,0.58125,0.45,0.45,0.552083,0.539583,0.414583,0.335417,0.56875,0.65,0.53125,0.39375,0.53125,0.39375,-0.05,-0.05,-0.5,0.666667,0.552083,0.583333,0.666667,0.666667,0.25,0.5,0.5,0.4375,0.25,0.5,0.666667,0.5,1,0,0,0.25,0.75,0.666667,0.25,1,0,0.36
"pinfo25","pinfo25;q0.667;c0.250;t0.3600","1.9430000000000002E-16","1","5","PBias4",0.1,0,0,0.7,0.3,0.1,0.1,-0.0125,0,0,0.65,0.55,0.0088674,0.0941667,0.00791667,0.025142,0.0941667,0.131667,0.0566667,0.00609549,0.0604167,0.0979167,0.0729167,0.585,0.45,0.45,0.564583,0.552083,0.427083,0.322917,0.5725,0.65,0.535,0.39,0.535,0.39,-0.05,-0.05,-0.5,0.666667,0.564583,0.583333,0.666667,0.666667,0.35,0.5,0.5,0.4625,0.35,0.5,0.666667,0.5,1,0,0,0.25,0.75,0.666667,0.25,1,0,0.36
"pinfo25","pinfo25;q0.667;c0.250;t0.3600","1.9430000000000002E-16","1","5","PBias5",0.1,0,0,0.7,0.3,0.1,0.1,-0.0125,0,0,0.65,0.55,0.0081752,0.0904167,0.000833333,0.023127,0.0904167,0.127917,0.0529167,0.00569444,0.0591667,0.0966667,0.0716667,0.58875,0.45,0.45,0.577083,0.564583,0.439583,0.310417,0.57625,0.65,0.53875,0.38625,0.53875,0.38625,-0.05,-0.05,-0.5,0.666667,0.577083,0.583333,0.666667,0.666667,0.45,0.5,0.5,0.4875,0.45,0.5,0.666667,0.5,1,0,0,0.25,0.75,0.666667,0.25,1,0,0.36
"pinfo25","pinfo25;q0.667;c0.250;t0.3600","1.9430000000000002E-16","1","5","PBias6",0.1,0,0,0.7,0.3,0.1,0.1,-0.0125,0,0,0.65,0.55,0.0075111,0.0866667,0.00958333,0.021205,0.0866667,0.124167,0.0491667,0.00551215,0.0579167,0.0954167,0.0704167,0.5925,0.45,0.45,0.589583,0.577083,0.452083,0.297917,0.58,0.65,0.5425,0.3825,0.5425,0.3825,-0.05,-0.05,-0.5,0.666667,0.589583,0.583333,0.666667,0.666667,0.55,0.5,0.5,0.5125,0.55,0.5,0.666667,0.5,1,0,0,0.25,0.75,0.666667,0.25,1,0,0.36
"pinfo25","pinfo25;q0.667;c0.250;t0.3600","1.9430000000000002E-16","1","5","PBias7",0.1,0,0,0.7,0.3,0.1,0.1,-0.0125,0,0,0.65,0.55,0.0068752,0.0829167,0.0183333,0.019377,0.0829167,0.120417,0.0454167,0.00554861,0.0583333,0.0958333,0.0708333,0.59625,0.45,0.45,0.602083,0.589583,0.464583,0.285417,0.58375,0.65,0.54625,0.37875,0.54625,0.37875,-0.05,-0.05,-0.5,0.666667,0.602083,0.583333,0.666667,0.666667,0.65,0.5,0.5,0.5375,0.65,0.5,0.666667,0.5,1,0,0,0.25,0.75,0.666667,0.25,1,0,0.36
"pinfo25","pinfo25;q0.667;c0.250;t0.3600","1.9430000000000002E-16","1","5","PBias8",0.1,0,0,0.7,0.3,0.1,0.1,-0.0125,0,0,0.65,0.55,0.0062674,0.0791667,0.0270833,0.017642,0.0791667,0.116667,0.0416667,0.00580382,0.0595833,0.0970833,0.0720833,0.6,0.45,0.45,0.614583,0.602083,0.477083,0.272917,0.5875,0.65,0.55,0.375,0.55,0.375,-0.05,-0.05,-0.5,0.666667,0.614583,0.583333,0.666667,0.666667,0.75,0.5,0.5,0.5625,0.75,0.5,0.666667,0.5,1,0,0,0.25,0.75,0.666667,0.25,1,0,0.36
"pinfo25","pinfo25;q0.667;c0.250;t0.3600","1.9430000000000002E-16","1","5","PBias9",0.1,0,0,0.7,0.3,0.1,0.1,-0.0125,0,0,0.65,0.55,0.0056877,0.0754167,0.0358333,0.016002,0.0754167,0.112917,0.0379167,0.00627778,0.0608333,0.0983333,0.0733333,0.60375,0.45,0.45,0.627083,0.614583,0.489583,0.260417,0.59125,0.65,0.55375,0.37125,0.55375,0.37125,-0.05,-0.05,-0.5,0.666667,0.627083,0.583333,0.666667,0.666667,0.85,0.5,0.5,0.5875,0.85,0.5,0.666667,0.5,1,0,0,0.25,0.75,0.666667,0.25,1,0,0.36
