"GroupName","OptionSet","Exploit","Refine","Seconds","Filter","All","PQuits","DQuits","Settles","Trial","Shifting","ShiftingOccursIfTrial","ShiftingValueIfTrial","PQuits","DQuits","POffer","DOffer","DMSAcc","DMSAccL1","DMSTrialRelAccL1","AccSq","Accuracy","Accuracy_ForPlaintiff","Accuracy_ForDefendant","TrialRelativeAccSq","TrialRelativeAccuracy","TrialRelativeAccuracy_ForPlaintiff","TrialRelativeAccuracy_ForDefendant","SettlementOrJudgment","DsProportionOfCost","DsProportionOfCostIfTrial","TrialValuePreShiftingIfOccurs","TrialValueWithShiftingIfOccurs","PTrialEffect_IfOccurs","DTrialEffect_IfOccurs","ResolutionValueIncludingShiftedAmount","SettlementValue","PWealth","DWealth","PWelfare","DWelfare","PQuality","DQuality","NQuality","QualitySum","PBestGuess","DBestGuess","QualitySum_PInfo","QualitySum_DInfo","PBias","DBias","NBias","BiasSum","BiasSum_PInfo","BiasSum_DInfo","Quality","Alpha_Quality","Alpha_Both_Quality","Alpha_Plaintiff_Quality","Alpha_Defendant_Quality","Alpha_Plaintiff_Bias","Alpha_Defendant_Bias","Evidence_Both_Quality","TrialCost","FeeShifting","FSMargin","FeeShiftingThreshold"
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","All",1,0,0.9,0,0.1,0.05,0.15,-0.01375,0,0.9,1.12101,-1,0.0183377,0.135417,0.02875,0.055642,0.192917,0.187917,0.197917,0.0307813,0.03625,0.04375,0.04125,0.97,0.495,0.445,0.94,0.92625,0.80125,-0.05125,0.96875,,0.95625,0.01875,1000.94,1000.01,-0.05,-0.05,-0.5,0.833333,0.666667,0.666667,0.833333,0.833333,0.5,0.5,0.5,0.5,0.5,0.5,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","PBias1",0.1,0,0.9,0,0.1,0.1,0.2,-0.025,0,0.9,0.760139,-1,0.002934,0.0541667,0.1875,0.11684,0.245833,0.258333,0.233333,0.201563,0.2125,0.225,0.2,0.9,0.45,0.4,0.7,0.675,0.55,0.2,0.8875,,0.875,0.1,1000.85,1000.1,-0.05,-0.05,-0.5,0.833333,0.554167,0.666667,0.833333,0.833333,0.05,0.5,0.5,0.275,0.05,0.5,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","PBias2",0.1,0,0.9,0,0.1,0.1,0.2,-0.025,0,0.9,0.85,-1,0.002934,0.0541667,0.0875,0.11684,0.245833,0.258333,0.233333,0.101563,0.1125,0.125,0.1,0.9,0.45,0.4,0.8,0.775,0.65,0.1,0.8875,,0.875,0.1,1000.85,1000.1,-0.05,-0.05,-0.5,0.833333,0.579167,0.666667,0.833333,0.833333,0.15,0.5,0.5,0.325,0.15,0.5,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","PBias3",0.1,0,0.9,0,0.1,0.1,0.2,-0.025,0,0.9,0.85,-1,0.002934,0.0541667,0.0125,0.11684,0.245833,0.258333,0.233333,0.0015625,0.0125,0.025,0,0.9,0.45,0.4,0.9,0.875,0.75,-2.94903E-17,0.8875,,0.875,0.1,1000.85,1000.1,-0.05,-0.05,-0.5,0.833333,0.604167,0.666667,0.833333,0.833333,0.25,0.5,0.5,0.375,0.25,0.5,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","PBias4",0.1,0,0.9,0,0.1,0,0.1,-0.0125,0,0.9,0.95,-1,0.0277778,0.166667,0,0.027778,0.166667,0.154167,0.179167,0,0,0.0125,0.0125,1,0.5,0.45,1,0.9875,0.8625,-0.1125,1,,0.9875,-0.0125,1000.98,999.979,-0.05,-0.05,-0.5,0.833333,0.629167,0.666667,0.833333,0.833333,0.35,0.5,0.5,0.425,0.35,0.5,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","PBias5",0.1,0,0.9,0,0.1,0,0.1,-0.0125,0,0.9,0.95,-1,0.0277778,0.166667,0,0.027778,0.166667,0.154167,0.179167,0,0,0.0125,0.0125,1,0.5,0.45,1,0.9875,0.8625,-0.1125,1,,0.9875,-0.0125,1000.98,999.979,-0.05,-0.05,-0.5,0.833333,0.654167,0.666667,0.833333,0.833333,0.45,0.5,0.5,0.475,0.45,0.5,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","PBias6",0.1,0,0.9,0,0.1,0,0.1,-0.0125,0,0.9,0.95,-1,0.0277778,0.166667,0,0.027778,0.166667,0.154167,0.179167,0,0,0.0125,0.0125,1,0.5,0.45,1,0.9875,0.8625,-0.1125,1,,0.9875,-0.0125,1000.98,999.979,-0.05,-0.05,-0.5,0.833333,0.679167,0.666667,0.833333,0.833333,0.55,0.5,0.5,0.525,0.55,0.5,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","PBias7",0.1,0,0.9,0,0.1,0,0.1,-0.0125,0,0.9,0.95,-1,0.0277778,0.166667,0,0.027778,0.166667,0.154167,0.179167,0,0,0.0125,0.0125,1,0.5,0.45,1,0.9875,0.8625,-0.1125,1,,0.9875,-0.0125,1000.98,999.979,-0.05,-0.05,-0.5,0.833333,0.704167,0.666667,0.833333,0.833333,0.65,0.5,0.5,0.575,0.65,0.5,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","PBias8",0.1,0,0.9,0,0.1,0,0.1,-0.0125,0,0.9,0.95,-1,0.0277778,0.166667,0,0.027778,0.166667,0.154167,0.179167,0,0,0.0125,0.0125,1,0.5,0.45,1,0.9875,0.8625,-0.1125,1,,0.9875,-0.0125,1000.98,999.979,-0.05,-0.05,-0.5,0.833333,0.729167,0.666667,0.833333,0.833333,0.75,0.5,0.5,0.625,0.75,0.5,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","PBias9",0.1,0,0.9,0,0.1,0.1,0.2,0,0,0.9,2,-1,0.0321007,0.179167,0.0125,0.033507,0.179167,0.166667,0.191667,0.0015625,0.0125,0,0.025,1,0.55,0.5,1,1,0.875,-0.125,1.0125,,1,-0.025,1000.99,999.956,-0.05,-0.05,-0.5,0.833333,0.754167,0.666667,0.833333,0.833333,0.85,0.5,0.5,0.675,0.85,0.5,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","PBias10",0.1,0,0.9,0,0.1,0.1,0.2,0,0,0.9,2,-1,0.0321007,0.179167,0.0125,0.033507,0.179167,0.166667,0.191667,0.0015625,0.0125,0,0.025,1,0.55,0.5,1,1,0.875,-0.125,1.0125,,1,-0.025,1000.99,999.956,-0.05,-0.05,-0.5,0.833333,0.779167,0.666667,0.833333,0.833333,0.95,0.5,0.5,0.725,0.95,0.5,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","DBias1",0.1,0,0,0,1,0.5,0.5,-0.0125,0,0,1.12101,-1,0.0212674,0.145833,0.0125,0.306424,0.429167,0.379167,0.479167,0.0078125,0.0625,0.1375,0.1125,0.7,0.45,0.45,0.7,0.6875,0.5625,0.1875,0.6875,,0.5625,0.1875,1000.52,1000.1,-0.05,-0.05,-0.5,0.833333,0.666667,0.554167,0.833333,0.833333,0.5,0.05,0.5,0.275,0.5,0.05,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","DBias2",0.1,0,1,0,0,0,1,-0.125,0,1,,,0.0277778,0.166667,0.2,0.027778,0.166667,0.166667,0.166667,0.2,0.2,0.2,0.2,1,0.5,0,0.8,0.675,0.55,0.2,1,,1,0,1000.99,1000,-0.05,-0.05,-0.5,0.833333,0.666667,0.579167,0.833333,0.833333,0.5,0.15,0.5,0.325,0.5,0.15,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","DBias3",0.1,0,1,0,0,0,0,0,0,1,,,0.0277778,0.166667,0.1,0.027778,0.166667,0.166667,0.166667,0.1,0.1,0.1,0.1,1,0.5,0.5,0.9,0.9,0.775,-0.025,1,,1,0,1000.99,1000,-0.05,-0.05,-0.5,0.833333,0.666667,0.604167,0.833333,0.833333,0.5,0.25,0.5,0.375,0.5,0.25,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","DBias4",0.1,0,1,0,0,0,0,0,0,1,,,0.0277778,0.166667,0,0.027778,0.166667,0.166667,0.166667,0,0,0,0,1,0.5,0.5,1,1,0.875,-0.125,1,,1,0,1000.99,1000,-0.05,-0.05,-0.5,0.833333,0.666667,0.629167,0.833333,0.833333,0.5,0.35,0.5,0.425,0.5,0.35,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","DBias5",0.1,0,1,0,0,0,0,0,0,1,,,0.0277778,0.166667,0,0.027778,0.166667,0.166667,0.166667,0,0,0,0,1,0.5,0.5,1,1,0.875,-0.125,1,,1,0,1000.99,1000,-0.05,-0.05,-0.5,0.833333,0.666667,0.654167,0.833333,0.833333,0.5,0.45,0.5,0.475,0.5,0.45,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","DBias6",0.1,0,1,0,0,0,0,0,0,1,,,0.0277778,0.166667,0,0.027778,0.166667,0.166667,0.166667,0,0,0,0,1,0.5,0.5,1,1,0.875,-0.125,1,,1,0,1000.99,1000,-0.05,-0.05,-0.5,0.833333,0.666667,0.679167,0.833333,0.833333,0.5,0.55,0.5,0.525,0.5,0.55,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","DBias7",0.1,0,1,0,0,0,0,0,0,1,,,0.0277778,0.166667,0,0.027778,0.166667,0.166667,0.166667,0,0,0,0,1,0.5,0.5,1,1,0.875,-0.125,1,,1,0,1000.99,1000,-0.05,-0.05,-0.5,0.833333,0.666667,0.704167,0.833333,0.833333,0.5,0.65,0.5,0.575,0.5,0.65,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","DBias8",0.1,0,1,0,0,0,0,0,0,1,,,0.0277778,0.166667,0,0.027778,0.166667,0.166667,0.166667,0,0,0,0,1,0.5,0.5,1,1,0.875,-0.125,1,,1,0,1000.99,1000,-0.05,-0.05,-0.5,0.833333,0.666667,0.729167,0.833333,0.833333,0.5,0.75,0.5,0.625,0.5,0.75,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","DBias9",0.1,0,1,0,0,0,0,0,0,1,,,0.0277778,0.166667,0,0.027778,0.166667,0.166667,0.166667,0,0,0,0,1,0.5,0.5,1,1,0.875,-0.125,1,,1,0,1000.99,1000,-0.05,-0.05,-0.5,0.833333,0.666667,0.754167,0.833333,0.833333,0.5,0.85,0.5,0.675,0.5,0.85,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","DBias10",0.1,0,1,0,0,0,0,0,0,1,,,0.0277778,0.166667,0,0.027778,0.166667,0.166667,0.166667,0,0,0,0,1,0.5,0.5,1,1,0.875,-0.125,1,,1,0,1000.99,1000,-0.05,-0.05,-0.5,0.833333,0.666667,0.779167,0.833333,0.833333,0.5,0.95,0.5,0.725,0.5,0.95,0.833333,0.5,1,0,0,0.5,0.5,0.833333,0.25,1,0,0.62
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","POffer1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","POffer2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","POffer3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","POffer4",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","POffer5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","POffer6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wtaesraq","wtaesraq;q0.833;c0.250;t0.6200","5.684E-14","9.151E-08","62","POffer7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
