"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","0.00296","0.9949","All",1,0,1,0.5,0.56691,0.108694,1,1,0.505929,0.356277,,,0.0522348,,,,,0.0305032,0.0142294,0.000531,0.5,10.3324,9.46465,1000.06,999.359,0.203,0.057985,0.175496,0.233481,0.0441819,0.0775506,0,0,0.0522348,0.464715,0.0361012,0.0198274,0.0111959,0.499999,0,2.6764E-06,0.56691,0.108694,0.43309,0.458216,0.0522348,0.0305032,0.0142294,0.00026549,0.0002655
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","0.00296","0.9949","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","0.00296","0.9949","DisputeArises",1,0,1,0.5,0.56691,0.108694,1,1,0.505929,0.356277,,,0.0522348,,,,,0.0305032,0.0142294,0.000531,0.5,10.3324,9.46465,1000.06,999.359,0.203,0.057985,0.175496,0.233481,0.0441819,0.0775506,0,0,0.0522348,0.464715,0.0361012,0.0198274,0.0111959,0.499999,0,2.6764E-06,0.56691,0.108694,0.43309,0.458216,0.0522348,0.0305032,0.0142294,0.00026549,0.0002655
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","0.00296","0.9949","PFiles",0.5669,0,0.56691,0.760098,1,0.191731,1,1,0.505929,0.356277,,,0.0921395,,,,,0.053806,0.0251,0.000937,0.5,10.5862,9.05567,1000.11,998.87,0.358081,0.102283,0.282918,0.3852,0.0779346,0.110148,0,0,0.0921395,0.464715,0.0636806,0.0349745,0.019749,0.855325,0,0.228541,1,0.191731,0,0.808269,0.0921395,0.053806,0.0251,0.00046831,0.0004683
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","0.00296","0.9949","DAnswers",0.1087,0,0.108694,0.421316,1,1,1,1,0.505929,0.356277,,,0.480566,,,,,0.280633,0.130912,0.004885,0.5,10.1067,9.29035,999.991,999.131,0.602931,0.400077,0.250923,0.651,0.273087,0.207088,0,0,0.480566,0.464715,0.332135,0.182414,0.103004,0.378821,0,1.52155,1,1,0,0,0.480566,0.280633,0.130912,0.00244253,0.0024425
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","0.00296","0.9949","Litigated",0.1087,0,0.108694,0.421316,1,1,1,1,0.505929,0.356277,,,0.480566,,,,,0.280633,0.130912,0.004885,0.5,10.1067,9.29035,999.991,999.131,0.602931,0.400077,0.250923,0.651,0.273087,0.207088,0,0,0.480566,0.464715,0.332135,0.182414,0.103004,0.378821,0,1.52155,1,1,0,0,0.480566,0.280633,0.130912,0.00244253,0.0024425
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","0.00296","0.9949","Not Litigated",0.8913,0,0.891306,0.509595,0.514095,0,1,1,,,,,0,,,,,0,0,0,,10.3599,9.48591,1000.07,999.387,0.154228,0.016267,0.166298,0.182565,0.016267,0.0617537,0,0,0,,0,0,0,0.514777,0,-0.18555,0.514095,0,0.485905,0.514095,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","0.00296","0.9949","Settles",0.0522,0,0.0522348,0.446933,1,1,1,1,0.443848,0.485581,,,1,,,,,0,0,0,,10.1647,9.23529,1000.05,999.319,0.6,0.448537,0.343468,0.792005,0.344623,0.287598,0,0,1,0.464715,0,0,0,0.412279,0,1.02997,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","0.00296","0.9949","Tried",0.0005,0,0.000530978,0.5,1,1,1,1,0.826862,0.116599,,,0,,,,,0,0,1,0.5,9.9,8.9,998.306,986.29,1.2,0.842215,0.230537,1.07275,1.49386,0.576342,0,0,0,,0,0,0,0.5,0,4,1,1,0,0,0,0,0,0.5,0.5
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","0.00296","0.9949","PWins",0.0003,0,0.000265489,0.669172,1,1,1,1,0.826862,0.116599,,,0,,,,,0,0,1,1,11.3,7.5,1000.17,972.497,1.2,1.68443,0,1.68443,2.98772,0,0,0,0,,0,0,0,0.815571,0,4,1,1,0,0,0,0,0,0,1
