"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 D Risk Averse","0.03367","0.9977","All",1,0,1,0.499995,1,0.2367,1,1,0.551873,0.318579,,,0.0811505,,,,,0.0664974,0.0237891,0.040147,0.162815,10.5126,9.09229,10.5126,998.838,0.395098,0.41984,0.170211,0.590052,0.413948,0.0833417,0,0,0.0811505,0.42776,0.0790553,0.0363471,0.0251159,0.499994,0,7.5023E-06,1,0.2367,0,0.7633,0.0811505,0.0664974,0.0237891,0.0336104,0.0065365
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 D Risk Averse","0.03367","0.9977","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 D Risk Averse","0.03367","0.9977","DisputeArises",1,0,1,0.499995,1,0.2367,1,1,0.551873,0.318579,,,0.0811505,,,,,0.0664974,0.0237891,0.040147,0.162815,10.5126,9.09229,10.5126,998.838,0.395098,0.41984,0.170211,0.590052,0.413948,0.0833417,0,0,0.0811505,0.42776,0.0790553,0.0363471,0.0251159,0.499994,0,7.5023E-06,1,0.2367,0,0.7633,0.0811505,0.0664974,0.0237891,0.0336104,0.0065365
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 D Risk Averse","0.03367","0.9977","PFiles",1,0,1,0.499995,1,0.2367,1,1,0.551873,0.318579,,,0.0811505,,,,,0.0664974,0.0237891,0.040147,0.162815,10.5126,9.09229,10.5126,998.838,0.395098,0.41984,0.170211,0.590052,0.413948,0.0833417,0,0,0.0811505,0.42776,0.0790553,0.0363471,0.0251159,0.499994,0,7.5023E-06,1,0.2367,0,0.7633,0.0811505,0.0664974,0.0237891,0.0336104,0.0065365
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 D Risk Averse","0.03367","0.9977","DAnswers",0.2367,0,0.2367,0.214657,1,1,1,1,0.551873,0.318579,,,0.342842,,,,,0.280936,0.100503,0.169611,0.162815,9.90831,9.38992,9.90831,998.934,0.701767,0.517047,0.128678,0.645725,0.492153,0.174971,0,0,0.342842,0.42776,0.33399,0.153558,0.106109,0.144272,0,0.621191,1,1,0,0,0.342842,0.280936,0.100503,0.141996,0.0276152
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 D Risk Averse","0.03367","0.9977","Litigated",0.2367,0,0.2367,0.214657,1,1,1,1,0.551873,0.318579,,,0.342842,,,,,0.280936,0.100503,0.169611,0.162815,9.90831,9.38992,9.90831,998.934,0.701767,0.517047,0.128678,0.645725,0.492153,0.174971,0,0,0.342842,0.42776,0.33399,0.153558,0.106109,0.144272,0,0.621191,1,1,0,0,0.342842,0.280936,0.100503,0.141996,0.0276152
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 D Risk Averse","0.03367","0.9977","Not Litigated",0.7633,0,0.7633,0.588479,1,0,1,1,,,,,0,,,,,0,0,0,,10.7,9,10.7,998.808,0.3,0.389697,0.183091,0.572788,0.389697,0.0549273,0,0,0,,0,0,0,0.610303,0,-0.192622,1,0,0,1,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 D Risk Averse","0.03367","0.9977","Settles",0.0812,0,0.0811505,0.201687,1,1,1,1,0.344572,0.510947,,,1,,,,,0,0,0,,10.1278,9.27224,10.1278,999.289,0.6,0.629308,0.103254,0.732562,0.497171,0.0908663,0,0,1,0.42776,0,0,0,0.128559,0,0.250931,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 D Risk Averse","0.03367","0.9977","Tried",0.0401,0,0.0401469,0.235296,1,1,1,1,0.697703,0.178621,,,0,,,,,0,0,1,0.162815,9.15819,9.64181,9.15819,997.556,1.2,0.292964,0.222519,0.515483,0.566246,0.489542,0,0,0,,0,0,0,0.166374,0,1.31727,1,1,0,0,0,0,0,0.837185,0.162815
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 D Risk Averse","0.03367","0.9977","PWins",0.0065,0,0.00653651,0.42965,1,1,1,1,0.780133,0.20965,,,0,,,,,0,0,1,1,11,7.8,11,984.99,1.2,1.79937,0,1.79937,3.47785,0,0,0,0,,0,0,0,0.400632,0,1.97437,1,1,0,0,0,0,0,0,1
