"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 2,0.5","0.0002804","0.9967","All",1,0,1,0.499999,1,1,1,1,0.428016,0.270925,,,0.712805,,,,,0.0263149,0.102735,0.152688,0.279688,10.3054,9.60818,1000.05,999.585,0.0864516,0.105913,0.241541,0.347454,0.0601718,0.202324,0,0,0.712805,0.295339,0.0290436,0.105463,0.00545727,0.499999,0,4.5156E-06,1,1,0,0,0.712805,0.0263149,0.102735,0.109983,0.042705
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 2,0.5","0.0002804","0.9967","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 2,0.5","0.0002804","0.9967","DisputeArises",1,0,1,0.499999,1,1,1,1,0.428016,0.270925,,,0.712805,,,,,0.0263149,0.102735,0.152688,0.279688,10.3054,9.60818,1000.05,999.585,0.0864516,0.105913,0.241541,0.347454,0.0601718,0.202324,0,0,0.712805,0.295339,0.0290436,0.105463,0.00545727,0.499999,0,4.5156E-06,1,1,0,0,0.712805,0.0263149,0.102735,0.109983,0.042705
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 2,0.5","0.0002804","0.9967","PFiles",1,0,1,0.499999,1,1,1,1,0.428016,0.270925,,,0.712805,,,,,0.0263149,0.102735,0.152688,0.279688,10.3054,9.60818,1000.05,999.585,0.0864516,0.105913,0.241541,0.347454,0.0601718,0.202324,0,0,0.712805,0.295339,0.0290436,0.105463,0.00545727,0.499999,0,4.5156E-06,1,1,0,0,0.712805,0.0263149,0.102735,0.109983,0.042705
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 2,0.5","0.0002804","0.9967","DAnswers",1,0,1,0.499999,1,1,1,1,0.428016,0.270925,,,0.712805,,,,,0.0263149,0.102735,0.152688,0.279688,10.3054,9.60818,1000.05,999.585,0.0864516,0.105913,0.241541,0.347454,0.0601718,0.202324,0,0,0.712805,0.295339,0.0290436,0.105463,0.00545727,0.499999,0,4.5156E-06,1,1,0,0,0.712805,0.0263149,0.102735,0.109983,0.042705
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 2,0.5","0.0002804","0.9967","Litigated",1,0,1,0.499999,1,1,1,1,0.428016,0.270925,,,0.712805,,,,,0.0263149,0.102735,0.152688,0.279688,10.3054,9.60818,1000.05,999.585,0.0864516,0.105913,0.241541,0.347454,0.0601718,0.202324,0,0,0.712805,0.295339,0.0290436,0.105463,0.00545727,0.499999,0,4.5156E-06,1,1,0,0,0.712805,0.0263149,0.102735,0.109983,0.042705
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 2,0.5","0.0002804","0.9967","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 2,0.5","0.0002804","0.9967","Settles",0.7128,0,0.712805,0.50295,1,1,1,1,0.250886,0.339793,,,1,,,,,0,0,0,,10.2578,9.66716,1000.06,999.725,0.075,0.08005,0.284007,0.364057,0.0203682,0.224156,0,0,1,0.295339,0,0,0,0.499346,0,-0.526775,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 2,0.5","0.0002804","0.9967","Tried",0.1527,0,0.152688,0.363025,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.279688,10.1386,9.71141,999.97,999.466,0.15,0.172031,0.183951,0.355983,0.172357,0.22534,0,0,0,,0,0,0,0.32075,0,2.18098,1,1,0,0,0,0,0,0.720312,0.279688
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Noise 2,0.5","0.0002804","0.9967","PWins",0.0427,0,0.042705,0.567165,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,11.075,8.775,1000.16,998.024,0.15,0.615084,0,0.615084,0.616246,0,0,0,0,,0,0,0,0.609916,0,1.57583,1,1,0,0,0,0,0,0,1
