"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","All",1,0,1,0.500004,1,1,1,1,0.582058,0.239864,,,0.536338,,,,,0.0218859,0,0.441777,0.795975,10.4454,9.33833,10.4454,9.33833,0.216266,0.238204,0.135255,0.373459,0.146536,0.105678,0,0,0.536338,0.339858,0.0218859,0,0,0.500004,0,1.79226E-05,1,1,0,0,0.536338,0.0218859,0,0.0901335,0.351643
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","DisputeArises",1,0,1,0.500004,1,1,1,1,0.582058,0.239864,,,0.536338,,,,,0.0218859,0,0.441777,0.795975,10.4454,9.33833,10.4454,9.33833,0.216266,0.238204,0.135255,0.373459,0.146536,0.105678,0,0,0.536338,0.339858,0.0218859,0,0,0.500004,0,1.79226E-05,1,1,0,0,0.536338,0.0218859,0,0.0901335,0.351643
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","PFiles",1,0,1,0.500004,1,1,1,1,0.582058,0.239864,,,0.536338,,,,,0.0218859,0,0.441777,0.795975,10.4454,9.33833,10.4454,9.33833,0.216266,0.238204,0.135255,0.373459,0.146536,0.105678,0,0,0.536338,0.339858,0.0218859,0,0,0.500004,0,1.79226E-05,1,1,0,0,0.536338,0.0218859,0,0.0901335,0.351643
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","DAnswers",1,0,1,0.500004,1,1,1,1,0.582058,0.239864,,,0.536338,,,,,0.0218859,0,0.441777,0.795975,10.4454,9.33833,10.4454,9.33833,0.216266,0.238204,0.135255,0.373459,0.146536,0.105678,0,0,0.536338,0.339858,0.0218859,0,0,0.500004,0,1.79226E-05,1,1,0,0,0.536338,0.0218859,0,0.0901335,0.351643
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","Litigated",1,0,1,0.500004,1,1,1,1,0.582058,0.239864,,,0.536338,,,,,0.0218859,0,0.441777,0.795975,10.4454,9.33833,10.4454,9.33833,0.216266,0.238204,0.135255,0.373459,0.146536,0.105678,0,0,0.536338,0.339858,0.0218859,0,0,0.500004,0,1.79226E-05,1,1,0,0,0.536338,0.0218859,0,0.0901335,0.351643
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","Settles",0.5363,0,0.536338,0.356448,1,1,1,1,0.31894,0.360777,,,1,,,,,0,0,0,,10.2649,9.58514,10.2649,9.58514,0.15,0.174127,0.121134,0.295262,0.0762934,0.0841862,0,0,1,0.339858,0,0,0,0.314666,0,-0.892177,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","Tried",0.4418,0,0.441777,0.688567,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.795975,10.6904,9.00963,10.6904,9.00963,0.3,0.32455,0.152373,0.476923,0.23883,0.129774,0,0,0,,0,0,0,0.743528,0,1.11764,1,1,0,0,0,0,0,0.204025,0.795975
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","PWins",0.3516,0,0.351643,0.750706,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,10.925,8.775,10.925,8.775,0.3,0.396431,0.0621427,0.458573,0.299199,0.0046607,0,0,0,,0,0,0,0.828569,0,1.24986,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","DWins",0.0901,0,0.0901335,0.44614,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0,9.775,9.925,9.775,9.925,0.3,0.0441187,0.504395,0.548514,0.0033089,0.617884,0,0,0,,0,0,0,0.411751,0,0.60183,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","Abandoned",0.0219,0,0.0218859,0.211778,1,1,1,1,0.612254,0.1,,,0,,,,,1,0,0,,9.925,9.925,9.925,9.925,0.15,0.0655273,0.135775,0.201302,0.00491455,0.145958,0,0,0,,1,0,0,0.126302,0,-0.695541,1,1,0,0,0,1,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","Rounds1",1,0,1,0.500004,1,1,1,1,0.582058,0.239864,,,0.536338,,,,,0.0218859,0,0.441777,0.795975,10.4454,9.33833,10.4454,9.33833,0.216266,0.238204,0.135255,0.373459,0.146536,0.105678,0,0,0.536338,0.339858,0.0218859,0,0,0.500004,0,1.79226E-05,1,1,0,0,0.536338,0.0218859,0,0.0901335,0.351643
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","Truly Liable",0.5,0,0.500004,0.716729,1,1,1,1,0.823735,0.302949,,,0.337531,,,,,0.00552843,0,0.65694,0.887015,10.7295,9.02197,10.7295,9.02197,0.248541,0.131111,0.270508,0.40162,0.0295,0.211353,0,0,0.337531,0.690038,0.00552843,0,0,1,0,0.584825,1,1,0,0,0.337531,0.00552843,0,0.0742245,0.582716
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","Truly Not Liable",0.5,0,0.499996,0.283275,1,1,1,1,0.340377,0.176779,,,0.735148,,,,,0.0382437,0,0.226609,0.532044,10.1613,9.6547,10.1613,9.6547,0.183991,0.345298,0,0.345298,0.263575,0,0,0,0.735148,0.179076,0.0382437,0,0,0,0,-0.5848,1,1,0,0,0.735148,0.0382437,0,0.106043,0.120566
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","AllCount",870,0,870,0.500004,870,870,870,870,0.582058,0.239864,,,466.614,,,,,19.0407,0,384.346,191.034,10.4454,9.33833,10.4454,9.33833,0.216266,0.238204,0.135255,0.373459,0.146536,0.105678,0,0,466.614,0.339858,19.0407,0,0,435.004,0,1.79226E-05,870,870,0,0,466.614,19.0407,0,78.4162,305.929
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","Liability Strength1",0.2261,0,0.226109,0.1,1,1,1,1,0.128014,0.137963,,,0.949058,,,,,0.0494139,0,0.001528,3.76612E-5,10.0393,9.81045,10.0393,9.81045,0.150229,0.181976,0.0383942,0.220371,0.0427775,0.0372327,0,0,0.949058,0.120701,0.0494139,0,0,0.0399657,0,-1.04554,1,1,0,0,0.949058,0.0494139,0,0.00152831,5.756E-08
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","Liability Strength2",0.1902,0,0.190218,0.3,1,1,1,1,0.254169,0.171556,,,0.806937,,,,,0.0484038,0,0.144659,0.0227808,10.0305,9.79784,10.0305,9.79784,0.171699,0.168019,0.164327,0.332346,0.0566107,0.165157,0,0,0.806937,0.152883,0.0484038,0,0,0.169489,0,-0.595585,1,1,0,0,0.806937,0.0484038,0,0.141364,0.0032955
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","Liability Strength3",0.1673,0,0.167336,0.5,1,1,1,1,0.778428,0.222716,,,0.278792,,,,,0.00892025,0,0.712288,0.5,10.369,9.37416,10.369,9.37416,0.256843,0.352984,0.315504,0.668488,0.344845,0.338804,0,0,0.278792,0.506724,0.00892025,0,0,0.5,0,-1.30481E-05,1,1,0,0,0.278792,0.00892025,0,0.356144,0.356144
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,2","0.0008726","0.9897","Liability Strength4",0.1902,0,0.19022,0.7,1,1,1,1,0.898964,0.29055,,,0.239149,,,,,6.85438E-05,0,0.760783,0.977219,10.8802,8.85569,10.8802,8.85569,0.264117,0.332873,0.0995008,0.432374,0.258713,0.0320321,0,0,0.239149,0.896269,6.85438E-05,0,0,0.830511,0,0.595594,1,1,0,0,0.239149,6.85438E-05,0,0.0173313,0.743451
