"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","All",1,0,1,0.500003,0.639669,0.230554,1,1,0.586069,0.314601,,,0.0837077,,,,,0.0321617,0.0316853,0.07862,0.440738,10.4012,9.44466,1000.07,999.331,0.154119,0.12675,0.156325,0.283075,0.107677,0.105668,0,0,0.0837077,0.374183,0.0343513,0.0338749,0.00437918,0.500004,0,-4.37299E-07,0.639669,0.230554,0.360331,0.409115,0.0837077,0.0321617,0.0316853,0.043969,0.0346506
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","DisputeArises",1,0,1,0.500003,0.639669,0.230554,1,1,0.586069,0.314601,,,0.0837077,,,,,0.0321617,0.0316853,0.07862,0.440738,10.4012,9.44466,1000.07,999.331,0.154119,0.12675,0.156325,0.283075,0.107677,0.105668,0,0,0.0837077,0.374183,0.0343513,0.0338749,0.00437918,0.500004,0,-4.37299E-07,0.639669,0.230554,0.360331,0.409115,0.0837077,0.0321617,0.0316853,0.043969,0.0346506
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","PFiles",0.6397,0,0.639669,0.673521,1,0.360427,1,1,0.586069,0.314601,,,0.130861,,,,,0.0502787,0.049534,0.122907,0.440738,10.6272,9.13183,1000.11,998.954,0.240936,0.198149,0.18203,0.380179,0.168332,0.102838,0,0,0.130861,0.374183,0.0537017,0.052957,0.00684601,0.719307,0,0.0940989,1,0.360427,0,0.639573,0.130861,0.0502787,0.049534,0.0687371,0.0541696
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","DAnswers",0.2306,0,0.230554,0.451176,1,1,1,1,0.586069,0.314601,,,0.363073,,,,,0.139498,0.137432,0.341004,0.440738,10.2319,9.36577,1000.02,999.213,0.402301,0.341991,0.270032,0.612024,0.259263,0.250071,0,0,0.363073,0.374183,0.148995,0.146929,0.0189942,0.428992,0,0.483654,1,1,0,0,0.363073,0.139498,0.137432,0.19071,0.150293
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","Litigated",0.2306,0,0.230554,0.451176,1,1,1,1,0.586069,0.314601,,,0.363073,,,,,0.139498,0.137432,0.341004,0.440738,10.2319,9.36577,1000.02,999.213,0.402301,0.341991,0.270032,0.612024,0.259263,0.250071,0,0,0.363073,0.374183,0.148995,0.146929,0.0189942,0.428992,0,0.483654,1,1,0,0,0.363073,0.139498,0.137432,0.19071,0.150293
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","Not Litigated",0.7694,0,0.769446,0.514634,0.5317,0,1,1,,,,,0,,,,,0,0,0,,10.4519,9.4683,1000.08,999.366,0.0797551,0.0622559,0.122254,0.18451,0.0622559,0.0623999,0,0,0,,0,0,0,0.521282,0,-0.144921,0.5317,0,0.4683,0.5317,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","Settles",0.0837,0,0.0837077,0.407526,1,1,1,1,0.330416,0.41795,,,1,,,,,0,0,0,,10.2242,9.47582,1000.05,999.579,0.3,0.29542,0.244718,0.540138,0.173758,0.184442,0,0,1,0.374183,0,0,0,0.365426,0,0.0954432,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","Tried",0.0786,0,0.0786196,0.470404,1,1,1,1,0.749613,0.20288,,,0,,,,,0,0,1,0.440738,10.1407,9.25926,999.976,998.889,0.6,0.411307,0.31781,0.729117,0.338672,0.330611,0,0,0,,0,0,0,0.456114,0,0.808763,1,1,0,0,0,0,0,0.559262,0.440738
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","PWins",0.0347,0,0.0346506,0.575813,1,1,1,1,0.804997,0.252294,,,0,,,,,0,0,1,1,10.7,8.7,1000.14,997.675,0.6,0.675733,0.18728,0.863013,0.691173,0.056184,0,0,0,,0,0,0,0.624267,0,0.846817,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","DWins",0.044,0,0.043969,0.387335,1,1,1,1,0.705966,0.163938,,,0,,,,,0,0,1,0,9.7,9.7,999.847,999.847,0.6,0.202921,0.420676,0.623597,0.0608763,0.546879,0,0,0,,0,0,0,0.323597,0,0.778774,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","Abandoned",0.0682,0,0.0682262,0.482573,1,1,1,1,0.711277,0.316543,,,0,,,,,0.471398,0.464416,0,,10.3465,9.35349,1000.04,999.136,0.3,0.319256,0.246035,0.565291,0.272664,0.237783,0,0,0,,0.503491,0.496509,0.0641861,0.475728,0,0.585321,1,1,0,0,0,0.471398,0.464416,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","Rounds1",0.2262,0,0.226174,0.450375,1,1,1,1,0.584387,0.313391,,,0.370103,,,,,0.142199,0.140093,0.347606,0.440738,10.2296,9.36608,1000.02,999.214,0.404282,0.341457,0.269123,0.61058,0.257506,0.248562,0,0,0.370103,0.374183,0.142199,0.140093,0,0.427855,0,0.49437,1,1,0,0,0.370103,0.142199,0.140093,0.194403,0.153203
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","Truly Liable",0.5,0,0.500004,0.716729,0.920228,0.19781,1,1,0.665421,0.372388,,,0.0611775,,,,,0.021699,0.0389432,0.071718,0.603222,10.6874,9.12343,1000.12,998.93,0.189221,0.0194038,0.312647,0.332051,0.00483103,0.211334,0,0,0.0611775,0.480321,0.0238348,0.041079,0.00427155,1,0,4.7906E-06,0.920228,0.19781,0.0797715,0.722419,0.0611775,0.021699,0.0389432,0.0284562,0.0432621
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","Truly Not Liable",0.5,0,0.499996,0.283274,0.359104,0.263298,1,1,0.526453,0.271187,,,0.106238,,,,,0.0426246,0.0244274,0.085521,0.304475,10.1151,9.7659,1000.01,999.731,0.119017,0.234098,0,0.234098,0.210524,0,0,0,0.106238,0.313062,0.044868,0.0266708,0.00448681,0,0,-5.66528E-06,0.359104,0.263298,0.640896,0.095806,0.106238,0.0426246,0.0244274,0.059482,0.026039
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","AllCount",6250,0,6250,0.500003,3997.93,1440.96,6250,6250,0.586069,0.314601,,,523.173,,,,,201.011,198.033,491.372,828.587,10.4012,9.44466,1000.07,999.331,0.154119,0.12675,0.156325,0.283075,0.107677,0.105668,0,0,523.173,0.374183,214.696,211.718,27.3699,3125.03,0,-4.37299E-07,3997.93,1440.96,2252.07,2556.97,523.173,201.011,198.033,274.806,216.566
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","Liability Strength1",0.2261,0,0.22611,0.1,0.050694,0.050694,1,1,0.269344,0.107283,,,0.0337562,,,,,0.00746738,3.2865E-06,0.009465,3.76612E-5,9.99451,9.98744,999.997,999.994,0.0180476,0.0120563,0.0401851,0.0522414,0.00310529,0.040449,0,0,0.0337562,0.104557,0.00746862,4.53505E-06,2.4971E-06,0.0399657,0,-2.94015E-06,0.050694,0.050694,0.949306,1.73017E-08,0.0337562,0.00746738,3.2865E-06,0.00946428,3.5645E-7
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 0.5,0.5","0.005319","0.9962","Liability Strength2",0.1902,0,0.190218,0.3,0.338353,0.337896,1,1,0.419705,0.158886,,,0.145632,,,,,0.0737642,0.00460187,0.111888,0.0227808,9.96626,9.89874,999.98,999.935,0.135004,0.0843768,0.175208,0.259584,0.0352664,0.18444,0,0,0.145632,0.172925,0.0747689,0.00560662,0.00200951,0.169489,0,-1.53781E-05,0.338353,0.337896,0.661647,0.000457426,0.145632,0.0737642,0.00460187,0.109339,0.0025489
