"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 2,2","0.1042","0.9997","All",1,0,1,0.5,0.553929,0.262834,1,1,0.542852,0.457433,,,0.135002,,,,,0.0332886,0.0356273,0.024302,0.503265,10.2514,9.48898,1000.03,999.228,0.25961,0.268055,0.367626,0.635681,0.269489,0.342611,0,0,0.135002,0.507578,0.0505961,0.0529348,0.034615,0.5,0,-3.9756E-06,0.553929,0.262834,0.446071,0.291095,0.135002,0.0332886,0.0356273,0.0120716,0.0122302
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 2,2","0.1042","0.9997","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 2,2","0.1042","0.9997","DisputeArises",1,0,1,0.5,0.553929,0.262834,1,1,0.542852,0.457433,,,0.135002,,,,,0.0332886,0.0356273,0.024302,0.503265,10.2514,9.48898,1000.03,999.228,0.25961,0.268055,0.367626,0.635681,0.269489,0.342611,0,0,0.135002,0.507578,0.0505961,0.0529348,0.034615,0.5,0,-3.9756E-06,0.553929,0.262834,0.446071,0.291095,0.135002,0.0332886,0.0356273,0.0120716,0.0122302
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 2,2","0.1042","0.9997","PFiles",0.5539,0,0.553929,0.5,1,0.474491,1,1,0.542852,0.457433,,,0.243716,,,,,0.0600955,0.0643175,0.043872,0.503265,10.4539,9.07746,1000.05,998.606,0.46867,0.483916,0.261027,0.744943,0.486504,0.215868,0,0,0.243716,0.507578,0.0913404,0.0955624,0.0624899,0.5,0,-3.9756E-06,1,0.474491,0,0.525509,0.243716,0.0600955,0.0643175,0.0217926,0.0220791
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 2,2","0.1042","0.9997","DAnswers",0.2628,0,0.262834,0.5,1,1,1,1,0.542852,0.457433,,,0.513638,,,,,0.126653,0.13555,0.092461,0.503265,10.1813,9.16326,999.948,998.382,0.655476,0.466103,0.383992,0.850095,0.471557,0.405109,0,0,0.513638,0.507578,0.192502,0.2014,0.131699,0.5,0,-3.9756E-06,1,1,0,0,0.513638,0.126653,0.13555,0.0459284,0.0465321
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 2,2","0.1042","0.9997","Litigated",0.2628,0,0.262834,0.5,1,1,1,1,0.542852,0.457433,,,0.513638,,,,,0.126653,0.13555,0.092461,0.503265,10.1813,9.16326,999.948,998.382,0.655476,0.466103,0.383992,0.850095,0.471557,0.405109,0,0,0.513638,0.507578,0.192502,0.2014,0.131699,0.5,0,-3.9756E-06,1,1,0,0,0.513638,0.126653,0.13555,0.0459284,0.0465321
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 2,2","0.1042","0.9997","Not Litigated",0.7372,0,0.737166,0.5,0.394884,0,1,1,,,,,0,,,,,0,0,0,,10.2764,9.60512,1000.06,999.529,0.118465,0.197442,0.361791,0.559233,0.197442,0.320328,0,0,0,,0,0,0,0.5,0,-3.9756E-06,0.394884,0,0.605116,0.394884,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 2,2","0.1042","0.9997","Settles",0.135,0,0.135002,0.498807,1,1,1,1,0.410954,0.604202,,,1,,,,,0,0,0,,10.2076,9.19242,1000.05,999.179,0.6,0.411872,0.394433,0.806305,0.345239,0.330346,0,0,1,0.507578,0,0,0,0.498515,0,-0.114893,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 2,2","0.1042","0.9997","Tried",0.0243,0,0.0243018,0.505147,1,1,1,1,0.737847,0.272825,,,0,,,,,0,0,1,0.503265,9.90718,8.89282,999.152,992.446,1.2,0.781607,0.397876,1.17948,1.32884,0.875327,0,0,0,,0,0,0,0.506429,0,0.651089,1,1,0,0,0,0,0,0.496735,0.503265
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 2,2","0.1042","0.9997","PWins",0.0122,0,0.0122302,0.618723,1,1,1,1,0.737763,0.273177,,,0,,,,,0,0,1,1,11,7.8,1000.16,984.99,1.2,1.55307,0,1.55307,2.64045,0,0,0,0,,0,0,0,0.646928,0,0.668413,1,1,0,0,0,0,0,0,1
