"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","0.3193","0.9963","All",1,0,1,0.499997,0.161976,0.0443065,1,1,0.48296,0.35069,,,0.0203849,,,,,0.00955136,0.00314613,0.007667,0.409355,10.0305,9.83653,999.904,999.281,0.13297,0.0870493,0.48266,0.569709,0.10363,0.489483,0,0,0.0203849,0.403534,0.0113297,0.0049245,0.00355675,0.499999,0,-8.5952E-06,0.161976,0.0443065,0.838024,0.117669,0.0203849,0.00955136,0.00314613,0.0045287,0.0031387
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","0.3193","0.9963","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","0.3193","0.9963","DisputeArises",1,0,1,0.499997,0.161976,0.0443065,1,1,0.48296,0.35069,,,0.0203849,,,,,0.00955136,0.00314613,0.007667,0.409355,10.0305,9.83653,999.904,999.281,0.13297,0.0870493,0.48266,0.569709,0.10363,0.489483,0,0,0.0203849,0.403534,0.0113297,0.0049245,0.00355675,0.499999,0,-8.5952E-06,0.161976,0.0443065,0.838024,0.117669,0.0203849,0.00955136,0.00314613,0.0045287,0.0031387
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","0.3193","0.9963","PFiles",0.162,0,0.161976,0.499997,1,0.273538,1,1,0.48296,0.35069,,,0.125851,,,,,0.0589678,0.0194234,0.047337,0.409355,10.1883,8.99075,999.408,995.561,0.820926,0.537421,0.392955,0.930376,0.639785,0.435079,0,0,0.125851,0.403534,0.069947,0.0304027,0.0219585,0.499999,0,-8.5952E-06,1,0.273538,0,0.726462,0.125851,0.0589678,0.0194234,0.0279591,0.0193775
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","0.3193","0.9963","DAnswers",0.0443,0,0.0443065,0.485918,1,1,1,1,0.48296,0.35069,,,0.460088,,,,,0.215575,0.0710083,0.173053,0.409355,9.62617,8.96617,997.563,986.939,1.40766,0.643503,0.635804,1.27931,1.01773,1.11011,0,0,0.460088,0.403534,0.255713,0.111146,0.080276,0.493296,0,0.0906451,1,1,0,0,0.460088,0.215575,0.0710083,0.102213,0.0708402
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","0.3193","0.9963","Litigated",0.0443,0,0.0443065,0.485918,1,1,1,1,0.48296,0.35069,,,0.460088,,,,,0.215575,0.0710083,0.173053,0.409355,9.62617,8.96617,997.563,986.939,1.40766,0.643503,0.635804,1.27931,1.01773,1.11011,0,0,0.460088,0.403534,0.255713,0.111146,0.080276,0.493296,0,0.0906451,1,1,0,0,0.460088,0.215575,0.0710083,0.102213,0.0708402
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","0.3193","0.9963","Not Litigated",0.9557,0,0.955693,0.50065,0.123125,0,1,1,,,,,0,,,,,0,0,0,,10.0492,9.87688,1000.01,999.853,0.0738748,0.0612518,0.47556,0.536812,0.0612518,0.460711,0,0,0,,0,0,0,0.500309,0,-0.00421135,0.123125,0,0.876875,0.123125,0,0,0,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","0.3193","0.9963","Settles",0.0204,0,0.0203849,0.515935,1,1,1,1,0.305871,0.501198,,,1,,,,,0,0,0,,9.80353,8.99647,999.888,998.678,1.2,0.53238,0.605869,1.13825,0.523746,0.742315,0,0,1,0.403534,0,0,0,0.507837,0,0.00695379,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","0.3193","0.9963","Tried",0.0077,0,0.00766738,0.425835,1,1,1,1,0.620042,0.161304,,,0,,,,,0,0,1,0.409355,8.99181,8.60819,986.786,931.503,2.4,1.14744,0.747399,1.89484,3.31482,2.54116,0,0,0,,0,0,0,0.464189,0,0.276284,1,1,0,0,0,0,0,0.590645,0.409355
"FSA Costs Multiplier 4 Fee Shifting Multiplier 1 Moderately Risk Averse Case Strength Noise 0.7","0.3193","0.9963","PWins",0.0031,0,0.00313868,0.699796,1,1,1,1,0.626432,0.17353,,,0,,,,,0,0,1,1,11,6.6,1000.16,832.672,2.4,2.80305,0,2.80305,8.09768,0,0,0,0,,0,0,0,0.596952,0,0.0543673,1,1,0,0,0,0,0,0,1
