"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","All",1,0,1,0.673383,1,1,1,1,0.774863,0.763534,,,0.845267,,,,,0.0167464,0.0339383,0.103663,0.415021,10.6809,9.15352,1000.12,999.039,0.165549,0.0591655,0.248146,0.307312,0.0381871,0.132098,0,0,0.845267,0.813796,0.0169388,0.0341307,0.000384897,0.900002,0,1.42533E-05,1,1,0,0,0.845267,0.0167464,0.0339383,0.0606408,0.0430223
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","DisputeArises",1,0,1,0.673383,1,1,1,1,0.774863,0.763534,,,0.845267,,,,,0.0167464,0.0339383,0.103663,0.415021,10.6809,9.15352,1000.12,999.039,0.165549,0.0591655,0.248146,0.307312,0.0381871,0.132098,0,0,0.845267,0.813796,0.0169388,0.0341307,0.000384897,0.900002,0,1.42533E-05,1,1,0,0,0.845267,0.0167464,0.0339383,0.0606408,0.0430223
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","PFiles",1,0,1,0.673383,1,1,1,1,0.774863,0.763534,,,0.845267,,,,,0.0167464,0.0339383,0.103663,0.415021,10.6809,9.15352,1000.12,999.039,0.165549,0.0591655,0.248146,0.307312,0.0381871,0.132098,0,0,0.845267,0.813796,0.0169388,0.0341307,0.000384897,0.900002,0,1.42533E-05,1,1,0,0,0.845267,0.0167464,0.0339383,0.0606408,0.0430223
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","DAnswers",1,0,1,0.673383,1,1,1,1,0.774863,0.763534,,,0.845267,,,,,0.0167464,0.0339383,0.103663,0.415021,10.6809,9.15352,1000.12,999.039,0.165549,0.0591655,0.248146,0.307312,0.0381871,0.132098,0,0,0.845267,0.813796,0.0169388,0.0341307,0.000384897,0.900002,0,1.42533E-05,1,1,0,0,0.845267,0.0167464,0.0339383,0.0606408,0.0430223
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","Litigated",1,0,1,0.673383,1,1,1,1,0.774863,0.763534,,,0.845267,,,,,0.0167464,0.0339383,0.103663,0.415021,10.6809,9.15352,1000.12,999.039,0.165549,0.0591655,0.248146,0.307312,0.0381871,0.132098,0,0,0.845267,0.813796,0.0169388,0.0341307,0.000384897,0.900002,0,1.42533E-05,1,1,0,0,0.845267,0.0167464,0.0339383,0.0606408,0.0430223
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","Settles",0.8453,0,0.845267,0.703494,1,1,1,1,0.774833,0.85276,,,1,,,,,0,0,0,,10.7388,9.1112,1000.14,999.023,0.15,0.0474674,0.217481,0.264948,0.0342948,0.0723691,0,0,1,0.813796,0,0,0,0.920704,0,-0.155359,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","Tried",0.1037,0,0.103663,0.434468,1,1,1,1,0.745522,0.242028,,,0,,,,,0,0,1,0.415021,10.2523,9.44773,1000,999.162,0.3,0.150178,0.492471,0.64265,0.0821412,0.571049,0,0,0,,0,0,0,0.7528,0,1.42204,1,1,0,0,0,0,0,0.584979,0.415021
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","PWins",0.043,0,0.0430223,0.577381,1,1,1,1,0.822359,0.267139,,,0,,,,,0,0,1,1,10.925,8.775,1000.16,998.024,0.3,0.324659,0.0675256,0.392185,0.195131,0.00506442,0,0,0,,0,0,0,0.900341,0,1.77492,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","DWins",0.0606,0,0.0606408,0.333076,1,1,1,1,0.691009,0.224214,,,0,,,,,0,0,1,0,9.775,9.925,999.894,999.97,0.3,0.0263906,0.793954,0.820345,0.00197929,0.972594,0,0,0,,0,0,0,0.648126,0,1.17168,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","Abandoned",0.0511,0,0.0510696,0.659967,1,1,1,1,0.83492,0.345304,,,0,,,,,0.327913,0.66455,0,,10.5933,9.25668,1000.1,999.044,0.15,0.0680434,0.25976,0.327804,0.013391,0.229697,0,0,0,,0.331681,0.668319,0.00753673,0.856158,0,-0.314845,1,1,0,0,0,0.327913,0.66455,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","Rounds1",0.9996,0,0.999615,0.673368,1,1,1,1,0.77488,0.763707,,,0.845593,,,,,0.0167528,0.0339514,0.103703,0.415021,10.681,9.15341,1000.12,999.038,0.165555,0.059166,0.248029,0.307195,0.0381923,0.131934,0,0,0.845593,0.813796,0.0167528,0.0339514,0,0.899979,0,0.00101311,1,1,0,0,0.845593,0.0167528,0.0339514,0.0606641,0.0430389
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0.007355","0.9969","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
