"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","All",1,0,1,0.499995,0.39845,0.297707,1,1,0.617128,0.397519,,,0.112347,,,,,0.0573724,0.0437227,0.063907,0.826759,10.1462,9.60662,1000.02,9.60662,0.247191,0.111142,0.362267,0.473409,0.101718,0.33549,0,0,0.112347,0.577564,0.0675514,0.0539017,0.0203579,0.499994,0,7.5023E-06,0.39845,0.297707,0.60155,0.100743,0.112347,0.0573724,0.0437227,0.0110712,0.0528353
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","DisputeArises",1,0,1,0.499995,0.39845,0.297707,1,1,0.617128,0.397519,,,0.112347,,,,,0.0573724,0.0437227,0.063907,0.826759,10.1462,9.60662,1000.02,9.60662,0.247191,0.111142,0.362267,0.473409,0.101718,0.33549,0,0,0.112347,0.577564,0.0675514,0.0539017,0.0203579,0.499994,0,7.5023E-06,0.39845,0.297707,0.60155,0.100743,0.112347,0.0573724,0.0437227,0.0110712,0.0528353
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","PFiles",0.3985,0,0.39845,0.760131,1,0.747162,1,1,0.617128,0.397519,,,0.28196,,,,,0.143989,0.109732,0.160388,0.826759,10.3669,9.01272,1000.04,9.01272,0.620381,0.278936,0.482214,0.76115,0.255284,0.415012,0,0,0.28196,0.577564,0.169535,0.135278,0.0510926,0.827871,0,0.489128,1,0.747162,0,0.252838,0.28196,0.143989,0.109732,0.0277857,0.132602
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","DAnswers",0.2977,0,0.297707,0.737442,1,1,1,1,0.617128,0.397519,,,0.377375,,,,,0.192715,0.146865,0.214663,0.826759,10.2542,9.01703,1000.01,9.01703,0.728798,0.34059,0.553696,0.894286,0.308934,0.527942,0,0,0.377375,0.577564,0.226906,0.181056,0.0683823,0.80236,0,0.707449,1,1,0,0,0.377375,0.192715,0.146865,0.0371883,0.177474
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","Litigated",0.2977,0,0.297707,0.737442,1,1,1,1,0.617128,0.397519,,,0.377375,,,,,0.192715,0.146865,0.214663,0.826759,10.2542,9.01703,1000.01,9.01703,0.728798,0.34059,0.553696,0.894286,0.308934,0.527942,0,0,0.377375,0.577564,0.226906,0.181056,0.0683823,0.80236,0,0.707449,1,1,0,0,0.377375,0.192715,0.146865,0.0371883,0.177474
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","Not Litigated",0.7023,0,0.702293,0.39934,0.143449,0,1,1,,,,,0,,,,,0,0,0,,10.1004,9.85655,1000.02,9.85655,0.0430347,0.0138776,0.281119,0.294996,0.0138776,0.253909,0,0,0,,0,0,0,0.371819,0,-0.299881,0.143449,0,0.856551,0.143449,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","Settles",0.1123,0,0.112347,0.777811,1,1,1,1,0.506503,0.648625,,,1,,,,,0,0,0,,10.2776,9.12244,1000.07,9.12244,0.6,0.137888,0.606171,0.744059,0.106546,0.462436,0,0,1,0.577564,0,0,0,0.852603,0,0.0847133,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","Tried",0.0639,0,0.0639065,0.755279,1,1,1,1,0.781953,0.283635,,,0,,,,,0,0,1,0.826759,10.4228,8.37718,999.953,8.37718,1.2,0.870624,0.409757,1.28038,0.970343,0.432134,0,0,0,,0,0,0,0.82339,0,1.36363,1,1,0,0,0,0,0,0.173241,0.826759
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","PWins",0.0528,0,0.0528353,0.795919,1,1,1,1,0.789343,0.302839,,,0,,,,,0,0,1,1,10.7,8.1,1000.14,8.1,1.2,1.0271,0.26187,1.28897,1.16588,0.0785609,0,0,0,,0,0,0,0.872899,0,1.23703,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","DWins",0.0111,0,0.0110712,0.561333,1,1,1,1,0.746687,0.191988,,,0,,,,,0,0,1,0,9.1,9.7,999.058,9.7,1.2,0.123864,1.11552,1.23939,0.0371593,2.1195,0,0,0,,0,0,0,0.587118,0,1.96781,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","Abandoned",0.1215,0,0.121453,0.690715,1,1,1,1,0.632731,0.225164,,,0,,,,,0.472384,0.359997,0,,10.1438,9.25619,999.977,9.25619,0.6,0.249201,0.580893,0.830094,0.148126,0.638949,0,0,0,,0.556193,0.443807,0.167619,0.744819,0,0.938224,1,1,0,0,0,0.472384,0.359997,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","Rounds1",0.2773,0,0.277349,0.738104,1,1,1,1,0.615608,0.407165,,,0.405075,,,,,0.20686,0.157645,0.230419,0.826759,10.2582,9.0036,1000.01,9.0036,0.738252,0.345146,0.547228,0.892374,0.316043,0.514284,0,0,0.405075,0.577564,0.20686,0.157645,0,0.802367,0,0.75304,1,1,0,0,0.405075,0.20686,0.157645,0.039918,0.190501
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","Truly Liable",0.5,0,0.499994,0.716723,0.659738,0.477742,1,1,0.629801,0.424023,,,0.191577,,,,,0.0704945,0.0777633,0.105241,0.876471,10.2755,9.32015,1000.04,9.32015,0.404389,0.115361,0.724542,0.839904,0.0837755,0.670989,0,0,0.191577,0.589035,0.0868272,0.094096,0.0326654,1,0,1.15263E-05,0.659738,0.477742,0.340262,0.181997,0.191577,0.0704945,0.0777633,0.0130004,0.0922409
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","Truly Not Liable",0.5,0,0.500006,0.283273,0.137168,0.117676,1,1,0.565681,0.289922,,,0.0331189,,,,,0.0442507,0.00968298,0.022573,0.594996,10.0169,9.89308,999.992,9.89308,0.0899969,0.106923,0,0.106923,0.11966,0,0,0,0.0331189,0.511213,0.048276,0.0137083,0.00805061,0,0,3.4784E-06,0.137168,0.117676,0.862832,0.019492,0.0331189,0.0442507,0.00968298,0.00914208,0.0134307
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","AllCount",3620,0,3620,0.499995,1442.39,1077.7,3620,3620,0.617128,0.397519,,,406.697,,,,,207.688,158.276,231.342,1008.65,10.1462,9.60662,1000.02,9.60662,0.247191,0.111142,0.362267,0.473409,0.101718,0.33549,0,0,406.697,0.577564,244.536,195.124,73.6954,1809.98,0,7.5023E-06,1442.39,1077.7,2177.61,364.691,406.697,207.688,158.276,40.0778,191.264
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","Liability Strength1",0.2261,0,0.226114,0.1,0.0089755,0.0089564,1,1,0.499782,0.114175,,,0.000600535,,,,,0.00705913,2.77658E-05,0.001163,0.0328966,9.9969,9.99702,999.998,9.99702,0.00607754,0.0028656,0.0400894,0.042955,0.00117452,0.0402789,0,0,0.00060053,0.223944,0.00711199,8.06195E-05,0.000105707,0.0399657,0,-6.39492E-06,0.00897553,0.0089564,0.991024,1.91206E-05,0.000600535,0.00705913,2.77658E-05,0.001125,3.8267E-5
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","Liability Strength2",0.1902,0,0.190224,0.3,0.0713581,0.070086,1,1,0.514988,0.156312,,,0.00912119,,,,,0.0460549,0.00108434,0.011073,0.169806,9.98197,9.96895,999.985,9.96895,0.0490771,0.0262056,0.172545,0.198751,0.0183438,0.178135,0,0,0.00912119,0.359444,0.0474312,0.00246062,0.00275255,0.169489,0,4.91077E-06,0.0713581,0.070086,0.928642,0.00127204,0.00912119,0.0460549,0.00108434,0.00919278,0.0018803
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","Liability Strength3",0.1673,0,0.167339,0.5,0.306129,0.28027,1,1,0.546834,0.254004,,,0.0721714,,,,,0.117448,0.0157208,0.053236,0.5,10.0049,9.78728,999.969,9.78728,0.207861,0.122704,0.49757,0.620274,0.125226,0.533689,0,0,0.0721714,0.465916,0.128295,0.0265679,0.0216941,0.5,0,2.11357E-05,0.306129,0.28027,0.693871,0.0258588,0.0721714,0.117448,0.0157208,0.0266179,0.0266179
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","Liability Strength4",0.1902,0,0.19022,0.7,0.669541,0.526107,1,1,0.60052,0.384844,,,0.203636,,,,,0.0972903,0.0696117,0.110688,0.830194,10.2274,9.34752,1000.02,9.34752,0.425107,0.205009,0.641678,0.846688,0.204422,0.624897,0,0,0.203636,0.55064,0.119731,0.0920522,0.0448809,0.830511,0,1.64073E-05,0.669541,0.526107,0.330459,0.143434,0.203636,0.0972903,0.0696117,0.0187955,0.0918922
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","Liability Strength5",0.2261,0,0.226104,0.9,0.903388,0.598723,1,1,0.665574,0.484604,,,0.263877,,,,,0.0391653,0.122236,0.139643,0.967103,10.4699,8.99563,1000.09,8.99563,0.534419,0.203355,0.50887,0.712224,0.168606,0.372938,0,0,0.263877,0.624792,0.0560666,0.139137,0.0338024,0.960034,0,5.99868E-06,0.903388,0.598723,0.0966117,0.304665,0.263877,0.0391653,0.122236,0.00459378,0.135049
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","PLiabilitySignal1",0.1861,0,0.18607,0.179301,0,0,1,1,,,,,0,,,,,0,0,0,,10,10,1000,10,0,0,0.105207,0.105207,0,0.105207,0,0,0,,0,0,0,0.105207,0,-0.80637,0,0,1,0,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","PLiabilitySignal2",0.2124,0,0.21239,0.292925,0,0,1,1,,,,,0,,,,,0,0,0,,10,10,1000,10,0,0,0.230751,0.230751,0,0.230751,0,0,0,,0,0,0,0.230751,0,-0.21118,0,0,1,0,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","PLiabilitySignal3",0.2031,0,0.20309,0.499995,0,0,1,1,,,,,0,,,,,0,0,0,,10,10,1000,10,0,0,0.499993,0.499993,0,0.499993,0,0,0,,0,0,0,0.499993,0,4E-05,0,0,1,0,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","PLiabilitySignal4",0.2124,0,0.21239,0.707075,1,0.778388,1,1,0.489147,0.366811,,,0.359517,,,,,0.270128,0.016759,0.036133,0.638032,10.1803,9.26446,1000,9.26446,0.555196,0.172983,0.590177,0.76316,0.138449,0.58558,0,0,0.359517,0.497438,0.318053,0.0646846,0.0958513,0.769249,0,0.21118,1,0.778388,0,0.221612,0.359517,0.270128,0.016759,0.013079,0.0230541
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","PLiabilitySignal5",0.1861,0,0.18606,0.820695,1,0.711517,1,1,0.776951,0.435867,,,0.193429,,,,,0,0.215862,0.302226,0.852516,10.5799,8.72535,1000.09,8.72535,0.694791,0.399884,0.358972,0.758856,0.388652,0.220307,0,0,0.193429,0.747566,0,0.215862,0,0.894788,0,0.80641,1,0.711517,0,0.288483,0.193429,0,0.215862,0.0445736,0.257653
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","DLiabilitySignal1",0.1861,0,0.186069,0.179304,0.0465872,0.0465872,1,1,0.53381,0.1,,,0.00176828,,,,,0.0335929,0,0.011226,0.432663,9.98724,9.97808,999.989,9.97808,0.0346879,0.0150953,0.108247,0.123342,0.0121695,0.115266,0,0,0.00176828,0.1,0.0335929,0,0,0.105211,0,0.806395,0.0465872,0.0465872,0.953413,0,0.00176828,0.0335929,0,0.00636892,0.0048571
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","DLiabilitySignal2",0.2124,0,0.212394,0.292924,0.135868,0.135868,1,1,0.562184,0.1,,,0.00455524,,,,,0.086538,0,0.044775,0.645662,9.97909,9.91253,999.975,9.91253,0.108386,0.0499405,0.235947,0.285887,0.0494749,0.261675,0,0,0.00455524,0.1,0.086538,0,0,0.230749,0,0.211167,0.135868,0.135868,0.864132,0,0.00455524,0.086538,0,0.0158654,0.0289094
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","DLiabilitySignal3",0.2031,0,0.20309,0.499998,0.366626,0.366626,1,1,0.597556,0.230029,,,0.0702582,,,,,0.117447,0.0426088,0.107849,0.80981,10.0512,9.66413,999.983,9.66413,0.284685,0.151369,0.449788,0.601156,0.148472,0.479475,0,0,0.0702582,0.417092,0.131679,0.0568404,0.0284632,0.499998,0,-1.48446E-05,0.366626,0.366626,0.633374,0,0.0702582,0.117447,0.0426088,0.0205118,0.0873374
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","DLiabilitySignal4",0.2124,0,0.212391,0.707073,0.645605,0.498004,1,1,0.628927,0.50017,,,0.2501,,,,,0.0204589,0.111234,0.066519,0.90211,10.2922,9.3248,1000.05,9.3248,0.382994,0.175281,0.512024,0.687305,0.151693,0.435272,0,0,0.2501,0.584192,0.0453047,0.13608,0.0496916,0.769248,0,-0.211192,0.645605,0.498004,0.354395,0.147602,0.2501,0.0204589,0.111234,0.00651156,0.0600073
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","DLiabilitySignal5",0.1861,0,0.186057,0.820699,0.802687,0.429715,1,1,0.648611,0.557345,,,0.234675,,,,,0.0244233,0.0615094,0.087483,0.940548,10.4329,9.14486,1000.08,9.14486,0.42221,0.159934,0.494018,0.653952,0.142828,0.368922,0,0,0.234675,0.636123,0.0352351,0.0723212,0.0216236,0.894793,0,-0.806366,0.802687,0.429715,0.197313,0.372973,0.234675,0.0244233,0.0615094,0.00520107,0.0822817
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","MutOptLiability5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","MutOptLiability4",0.0013,0,0.00134521,0.5,1,1,1,1,0.776951,0.1,,,0,,,,,0,0,1,0.5,9.9,8.9,999.599,8.9,1.2,0.729831,0.446756,1.17659,0.952631,0.697863,0,0,0,,0,0,0,0.5,0,4,1,1,0,0,0,0,0,0.5,0.5
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","MutOptLiability3",0.0146,0,0.0146465,0.500001,1,1,1,1,0.63305,0.1,,,0.0224642,,,,,0.426763,0,0.550773,0.654282,9.94836,9.12118,999.804,9.12118,0.930464,0.53859,0.432057,0.970647,0.580789,0.581286,0,0,0.0224642,0.1,0.426763,0,0,0.500001,0,3,1,1,0,0,0.0224642,0.426763,0,0.190412,0.360361
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","MutOptLiability2",0.0776,0,0.0776297,0.499993,0.638685,0.638685,1,1,0.65195,0.173554,,,0.0326471,,,,,0.236767,0.0981378,0.271133,0.795063,10.1059,9.3482,999.957,9.3482,0.545891,0.324022,0.373893,0.697915,0.322434,0.418335,0,0,0.0326471,0.525114,0.236767,0.0981378,0,0.499991,0,2,0.638685,0.638685,0.361315,0,0.0326471,0.236767,0.0981378,0.0555651,0.215568
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","MutOptLiability1",0.226,0,0.226017,0.499999,0.499997,0.432632,1,1,0.640347,0.37195,,,0.128689,,,,,0.105533,0.100746,0.072088,0.866275,10.1623,9.51462,1000.02,9.51462,0.323042,0.152645,0.347816,0.500461,0.130244,0.328333,0,0,0.128689,0.581026,0.118321,0.113534,0.0255759,0.499998,0,1,0.499997,0.432632,0.500003,0.067365,0.128689,0.105533,0.100746,0.00963997,0.0624479
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","MutOptLiability0",0.3607,0,0.360723,0.499994,0.424903,0.273615,1,1,0.618321,0.525831,,,0.151843,,,,,0.012046,0.0352048,0.045263,0.93627,10.2039,9.55934,1000.04,9.55934,0.236713,0.0977055,0.315221,0.412926,0.0859918,0.258669,0,0,0.151843,0.590383,0.026675,0.0498338,0.029258,0.499992,0,0,0.424903,0.273615,0.575097,0.151288,0.151843,0.012046,0.0352048,0.00288464,0.0423785
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","MutOptLiability-1",0.226,0,0.226021,0.499996,0.29465,0.157739,1,1,0.489147,0.557345,,,0.113372,,,,,0.0201049,0.00280835,0.003654,0.906933,10.1265,9.73555,1000.02,9.73555,0.137909,0.0326211,0.38574,0.418361,0.0285052,0.350581,0,0,0.113372,0.557554,0.029005,0.0117085,0.0178002,0.499995,0,-1,0.29465,0.157739,0.70535,0.136911,0.113372,0.0201049,0.00280835,0.00034006,0.0033139
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 P Risk Averse","0.01031","0.9982","MutOptLiability-2",0.0776,0,0.0776271,0.499989,0,0,1,1,,,,,0,,,,,0,0,0,,10,10,1000,10,0,0,0.499985,0.499985,0,0.499985,0,0,0,,0,0,0,0.499985,0,-2,0,0,1,0,0,0,0,0,0
